run=abl_euclid_rt_d4_s2 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.6', 'episodes': 5}
{'step': 2000, 'sps': '68.4', 'episodes': 10}
{'step': 3000, 'sps': '68.7', 'episodes': 15}
{'step': 4000, 'sps': '68.9', 'episodes': 20}
{'step': 5000, 'sps': '69', 'episodes': 25}
{'step': 31000, 'sps': '26.1', 'episodes': 155, 'metric/d_mean': '0.0002847', 'metric/d_nonzero': '0.1897', 'phi/constraint': '7.096e-08', 'phi/lambda': '41.09', 'phi/obj': '2.967e-05', 'phi/violation_rate': '0.04953', 'sac/actor_loss': '-10.77', 'sac/alpha': '0.0009327', 'sac/q_loss': '0.02017', 'sac/reward_mean': '0.003017'}
{'step': 32000, 'sps': '26.1', 'episodes': 160, 'metric/d_mean': '0.0003088', 'metric/d_nonzero': '0.1991', 'phi/constraint': '8.24e-08', 'phi/lambda': '37.03', 'phi/obj': '2.98e-05', 'phi/violation_rate': '0.04871', 'sac/actor_loss': '-10.45', 'sac/alpha': '0.001006', 'sac/q_loss': '0.02907', 'sac/reward_mean': '0.003033'}
{'step': 33000, 'sps': '26.2', 'episodes': 165, 'metric/d_mean': '0.0003231', 'metric/d_nonzero': '0.2042', 'phi/constraint': '6.969e-08', 'phi/lambda': '36.64', 'phi/obj': '3.479e-05', 'phi/violation_rate': '0.05643', 'sac/actor_loss': '-10.11', 'sac/alpha': '0.001156', 'sac/q_loss': '0.03297', 'sac/reward_mean': '0.003535'}
{'step': 34000, 'sps': '26.2', 'episodes': 170, 'metric/d_mean': '0.0003372', 'metric/d_nonzero': '0.2111', 'phi/constraint': '8.551e-08', 'phi/lambda': '43.32', 'phi/obj': '3.957e-05', 'phi/violation_rate': '0.04354', 'sac/actor_loss': '-9.789', 'sac/alpha': '0.001389', 'sac/q_loss': '0.03562', 'sac/reward_mean': '0.004015'}
{'step': 35000, 'sps': '26.2', 'episodes': 175, 'metric/d_mean': '0.0003506', 'metric/d_nonzero': '0.2145', 'phi/constraint': '1.075e-07', 'phi/lambda': '47.62', 'phi/obj': '4.471e-05', 'phi/violation_rate': '0.04105', 'sac/actor_loss': '-9.501', 'sac/alpha': '0.001625', 'sac/q_loss': '0.02821', 'sac/reward_mean': '0.004529'}
{'step': 36000, 'sps': '26.3', 'episodes': 180, 'metric/d_mean': '0.0003665', 'metric/d_nonzero': '0.22', 'phi/constraint': '9.565e-08', 'phi/lambda': '49.88', 'phi/obj': '5.272e-05', 'phi/violation_rate': '0.03883', 'sac/actor_loss': '-9.242', 'sac/alpha': '0.0017', 'sac/q_loss': '0.02308', 'sac/reward_mean': '0.005333'}
{'step': 37000, 'sps': '26.3', 'episodes': 185, 'metric/d_mean': '0.0003797', 'metric/d_nonzero': '0.225', 'phi/constraint': '1.412e-07', 'phi/lambda': '57.46', 'phi/obj': '5.634e-05', 'phi/violation_rate': '0.03255', 'sac/actor_loss': '-8.965', 'sac/alpha': '0.001686', 'sac/q_loss': '0.01475', 'sac/reward_mean': '0.005694'}
{'step': 38000, 'sps': '26.3', 'episodes': 190, 'metric/d_mean': '0.0003947', 'metric/d_nonzero': '0.2285', 'phi/constraint': '1.437e-07', 'phi/lambda': '58.24', 'phi/obj': '6.229e-05', 'phi/violation_rate': '0.03043', 'sac/actor_loss': '-8.721', 'sac/alpha': '0.001698', 'sac/q_loss': '0.01363', 'sac/reward_mean': '0.006292'}
{'step': 39000, 'sps': '26.4', 'episodes': 195, 'metric/d_mean': '0.0004039', 'metric/d_nonzero': '0.2302', 'phi/constraint': '1.674e-07', 'phi/lambda': '61.24', 'phi/obj': '6.515e-05', 'phi/violation_rate': '0.02743', 'sac/actor_loss': '-8.483', 'sac/alpha': '0.001709', 'sac/q_loss': '0.01285', 'sac/reward_mean': '0.006579'}
{'step': 40000, 'sps': '26.4', 'episodes': 200, 'metric/d_mean': '0.0004198', 'metric/d_nonzero': '0.2363', 'phi/constraint': '1.743e-07', 'phi/lambda': '62.57', 'phi/obj': '7.102e-05', 'phi/violation_rate': '0.02762', 'sac/actor_loss': '-8.262', 'sac/alpha': '0.001824', 'sac/q_loss': '0.01426', 'sac/reward_mean': '0.007164'}
{'step': 41000, 'sps': '26.4', 'episodes': 205, 'metric/d_mean': '0.0004291', 'metric/d_nonzero': '0.24', 'phi/constraint': '1.827e-07', 'phi/lambda': '63.85', 'phi/obj': '7.45e-05', 'phi/violation_rate': '0.02728', 'sac/actor_loss': '-8.036', 'sac/alpha': '0.001873', 'sac/q_loss': '0.01515', 'sac/reward_mean': '0.007513'}
{'step': 42000, 'sps': '26.4', 'episodes': 210, 'metric/d_mean': '0.0004322', 'metric/d_nonzero': '0.2414', 'phi/constraint': '1.832e-07', 'phi/lambda': '65.8', 'phi/obj': '7.766e-05', 'phi/violation_rate': '0.0277', 'sac/actor_loss': '-7.829', 'sac/alpha': '0.001986', 'sac/q_loss': '0.01465', 'sac/reward_mean': '0.007827'}
{'step': 43000, 'sps': '26.5', 'episodes': 215, 'metric/d_mean': '0.0004498', 'metric/d_nonzero': '0.2486', 'phi/constraint': '2.19e-07', 'phi/lambda': '66.68', 'phi/obj': '7.791e-05', 'phi/violation_rate': '0.02598', 'sac/actor_loss': '-7.663', 'sac/alpha': '0.001981', 'sac/q_loss': '0.01475', 'sac/reward_mean': '0.007852'}
{'step': 44000, 'sps': '26.5', 'episodes': 220, 'metric/d_mean': '0.0004637', 'metric/d_nonzero': '0.2537', 'phi/constraint': '2.236e-07', 'phi/lambda': '59.87', 'phi/obj': '7.316e-05', 'phi/violation_rate': '0.03025', 'sac/actor_loss': '-7.465', 'sac/alpha': '0.001985', 'sac/q_loss': '0.01682', 'sac/reward_mean': '0.007379'}
{'step': 45000, 'sps': '26.5', 'episodes': 225, 'metric/d_mean': '0.0004699', 'metric/d_nonzero': '0.2557', 'phi/constraint': '2.143e-07', 'phi/lambda': '58.47', 'phi/obj': '7.391e-05', 'phi/violation_rate': '0.03096', 'sac/actor_loss': '-7.298', 'sac/alpha': '0.001976', 'sac/q_loss': '0.01683', 'sac/reward_mean': '0.007455'}
{'step': 46000, 'sps': '26.5', 'episodes': 230, 'metric/d_mean': '0.0004834', 'metric/d_nonzero': '0.2619', 'phi/constraint': '2.255e-07', 'phi/lambda': '58.31', 'phi/obj': '7.724e-05', 'phi/violation_rate': '0.03088', 'sac/actor_loss': '-7.147', 'sac/alpha': '0.002026', 'sac/q_loss': '0.01702', 'sac/reward_mean': '0.007787'}
{'step': 47000, 'sps': '26.6', 'episodes': 235, 'metric/d_mean': '0.0004944', 'metric/d_nonzero': '0.2682', 'phi/constraint': '2.257e-07', 'phi/lambda': '59.17', 'phi/obj': '8.035e-05', 'phi/violation_rate': '0.03304', 'sac/actor_loss': '-7.026', 'sac/alpha': '0.002037', 'sac/q_loss': '0.01963', 'sac/reward_mean': '0.008096'}
{'step': 48000, 'sps': '26.6', 'episodes': 240, 'metric/d_mean': '0.0005079', 'metric/d_nonzero': '0.2744', 'phi/constraint': '2.379e-07', 'phi/lambda': '58.81', 'phi/obj': '8.256e-05', 'phi/violation_rate': '0.03259', 'sac/actor_loss': '-6.916', 'sac/alpha': '0.002154', 'sac/q_loss': '0.02058', 'sac/reward_mean': '0.008322'}
{'step': 49000, 'sps': '26.6', 'episodes': 245, 'metric/d_mean': '0.0005212', 'metric/d_nonzero': '0.2803', 'phi/constraint': '2.382e-07', 'phi/lambda': '60.88', 'phi/obj': '8.65e-05', 'phi/violation_rate': '0.03477', 'sac/actor_loss': '-6.83', 'sac/alpha': '0.002164', 'sac/q_loss': '0.02189', 'sac/reward_mean': '0.008716'}
{'step': 50000, 'sps': '26.6', 'episodes': 250, 'metric/d_mean': '0.0005262', 'metric/d_nonzero': '0.2838', 'phi/constraint': '2.32e-07', 'phi/lambda': '61.69', 'phi/obj': '8.833e-05', 'phi/violation_rate': '0.03382', 'sac/actor_loss': '-6.731', 'sac/alpha': '0.002173', 'sac/q_loss': '0.02065', 'sac/reward_mean': '0.008898'}
{'step': 51000, 'sps': '26.6', 'episodes': 255, 'metric/d_mean': '0.0005356', 'metric/d_nonzero': '0.2897', 'phi/constraint': '2.454e-07', 'phi/lambda': '64.63', 'phi/obj': '9.243e-05', 'phi/violation_rate': '0.03469', 'sac/actor_loss': '-6.636', 'sac/alpha': '0.002169', 'sac/q_loss': '0.02503', 'sac/reward_mean': '0.009307'}
{'step': 52000, 'sps': '26.7', 'episodes': 260, 'metric/d_mean': '0.0005447', 'metric/d_nonzero': '0.2936', 'phi/constraint': '2.649e-07', 'phi/lambda': '65.43', 'phi/obj': '9.241e-05', 'phi/violation_rate': '0.03571', 'sac/actor_loss': '-6.531', 'sac/alpha': '0.002203', 'sac/q_loss': '0.02624', 'sac/reward_mean': '0.009306'}
{'step': 53000, 'sps': '26.7', 'episodes': 265, 'metric/d_mean': '0.0005564', 'metric/d_nonzero': '0.2989', 'phi/constraint': '2.676e-07', 'phi/lambda': '64.72', 'phi/obj': '9.487e-05', 'phi/violation_rate': '0.03693', 'sac/actor_loss': '-6.416', 'sac/alpha': '0.002179', 'sac/q_loss': '0.02627', 'sac/reward_mean': '0.009554'}
{'step': 54000, 'sps': '26.7', 'episodes': 270, 'metric/d_mean': '0.0005645', 'metric/d_nonzero': '0.3029', 'phi/constraint': '2.795e-07', 'phi/lambda': '67.12', 'phi/obj': '0.0001002', 'phi/violation_rate': '0.03659', 'sac/actor_loss': '-6.302', 'sac/alpha': '0.002144', 'sac/q_loss': '0.0282', 'sac/reward_mean': '0.01009'}
{'step': 55000, 'sps': '26.7', 'episodes': 275, 'metric/d_mean': '0.0005724', 'metric/d_nonzero': '0.3056', 'phi/constraint': '2.902e-07', 'phi/lambda': '67.27', 'phi/obj': '0.0001012', 'phi/violation_rate': '0.03728', 'sac/actor_loss': '-6.168', 'sac/alpha': '0.002141', 'sac/q_loss': '0.02696', 'sac/reward_mean': '0.01018'}
{'step': 56000, 'sps': '26.7', 'episodes': 280, 'metric/d_mean': '0.0005862', 'metric/d_nonzero': '0.3097', 'phi/constraint': '2.989e-07', 'phi/lambda': '70.58', 'phi/obj': '0.0001085', 'phi/violation_rate': '0.03758', 'sac/actor_loss': '-6.083', 'sac/alpha': '0.002162', 'sac/q_loss': '0.03072', 'sac/reward_mean': '0.01092'}
{'step': 57000, 'sps': '26.7', 'episodes': 285, 'metric/d_mean': '0.0006022', 'metric/d_nonzero': '0.3144', 'phi/constraint': '3.394e-07', 'phi/lambda': '68.32', 'phi/obj': '0.0001064', 'phi/violation_rate': '0.03814', 'sac/actor_loss': '-5.973', 'sac/alpha': '0.002086', 'sac/q_loss': '0.02814', 'sac/reward_mean': '0.01071'}
{'step': 58000, 'sps': '26.7', 'episodes': 290, 'metric/d_mean': '0.0006177', 'metric/d_nonzero': '0.3183', 'phi/constraint': '3.534e-07', 'phi/lambda': '63.38', 'phi/obj': '0.000105', 'phi/violation_rate': '0.03747', 'sac/actor_loss': '-5.861', 'sac/alpha': '0.002074', 'sac/q_loss': '0.02945', 'sac/reward_mean': '0.01056'}
{'step': 59000, 'sps': '26.7', 'episodes': 295, 'metric/d_mean': '0.0006288', 'metric/d_nonzero': '0.3205', 'phi/constraint': '3.388e-07', 'phi/lambda': '63.09', 'phi/obj': '0.0001116', 'phi/violation_rate': '0.04061', 'sac/actor_loss': '-5.757', 'sac/alpha': '0.002069', 'sac/q_loss': '0.03432', 'sac/reward_mean': '0.01122'}
{'step': 60000, 'sps': '26.6', 'episodes': 300, 'metric/d_mean': '0.0006383', 'metric/d_nonzero': '0.3231', 'phi/constraint': '3.66e-07', 'phi/lambda': '64.86', 'phi/obj': '0.000115', 'phi/violation_rate': '0.03949', 'sac/actor_loss': '-5.635', 'sac/alpha': '0.002059', 'sac/q_loss': '0.03126', 'sac/reward_mean': '0.01156'}
{'step': 61000, 'sps': '26.6', 'episodes': 305, 'metric/d_mean': '0.0006417', 'metric/d_nonzero': '0.324', 'phi/constraint': '3.639e-07', 'phi/lambda': '64.42', 'phi/obj': '0.0001173', 'phi/violation_rate': '0.03938', 'sac/actor_loss': '-5.503', 'sac/alpha': '0.00206', 'sac/q_loss': '0.0288', 'sac/reward_mean': '0.0118'}
{'step': 62000, 'sps': '26.5', 'episodes': 310, 'metric/d_mean': '0.0006475', 'metric/d_nonzero': '0.3264', 'phi/constraint': '3.735e-07', 'phi/lambda': '65.05', 'phi/obj': '0.0001191', 'phi/violation_rate': '0.04012', 'sac/actor_loss': '-5.408', 'sac/alpha': '0.002122', 'sac/q_loss': '0.02927', 'sac/reward_mean': '0.01198'}
{'step': 63000, 'sps': '26.4', 'episodes': 315, 'metric/d_mean': '0.0006592', 'metric/d_nonzero': '0.3272', 'phi/constraint': '3.762e-07', 'phi/lambda': '66.96', 'phi/obj': '0.0001266', 'phi/violation_rate': '0.04017', 'sac/actor_loss': '-5.327', 'sac/alpha': '0.002196', 'sac/q_loss': '0.03187', 'sac/reward_mean': '0.01273'}
{'step': 64000, 'sps': '26.3', 'episodes': 320, 'metric/d_mean': '0.0006641', 'metric/d_nonzero': '0.3284', 'phi/constraint': '3.883e-07', 'phi/lambda': '65.95', 'phi/obj': '0.0001259', 'phi/violation_rate': '0.04139', 'sac/actor_loss': '-5.22', 'sac/alpha': '0.002165', 'sac/q_loss': '0.02358', 'sac/reward_mean': '0.01266'}
