run=stage2_comp_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '74.6', 'episodes': 3}
{'step': 2000, 'sps': '73.6', 'episodes': 6}
{'step': 3000, 'sps': '71.2', 'episodes': 10}
{'step': 4000, 'sps': '71.3', 'episodes': 13}
{'step': 32000, 'sps': '33.6', 'episodes': 106, 'metric/d_mean': '0.003032', 'metric/d_nonzero': '0.5006', 'phi/constraint': '0.0004677', 'phi/lambda': '3.886', 'phi/obj': '0.00319', 'phi/violation_rate': '0.4926', 'sac/actor_loss': '-41.96', 'sac/alpha': '0.0509', 'sac/q_loss': '7.833', 'sac/reward_mean': '0.3225'}
{'step': 33000, 'sps': '33.5', 'episodes': 110, 'metric/d_mean': '0.003222', 'metric/d_nonzero': '0.5149', 'phi/constraint': '0.0005586', 'phi/lambda': '3.818', 'phi/obj': '0.003222', 'phi/violation_rate': '0.5059', 'sac/actor_loss': '-43.08', 'sac/alpha': '0.04982', 'sac/q_loss': '9.047', 'sac/reward_mean': '0.3261'}
{'step': 34000, 'sps': '33.6', 'episodes': 113, 'metric/d_mean': '0.003152', 'metric/d_nonzero': '0.5116', 'phi/constraint': '0.0005196', 'phi/lambda': '3.892', 'phi/obj': '0.003465', 'phi/violation_rate': '0.502', 'sac/actor_loss': '-44.57', 'sac/alpha': '0.04973', 'sac/q_loss': '8.644', 'sac/reward_mean': '0.3503'}
{'step': 35000, 'sps': '33.6', 'episodes': 116, 'metric/d_mean': '0.003252', 'metric/d_nonzero': '0.5106', 'phi/constraint': '0.0005372', 'phi/lambda': '4.025', 'phi/obj': '0.003531', 'phi/violation_rate': '0.5016', 'sac/actor_loss': '-45.71', 'sac/alpha': '0.05314', 'sac/q_loss': '9.243', 'sac/reward_mean': '0.3572'}
{'step': 36000, 'sps': '33.5', 'episodes': 120, 'metric/d_mean': '0.003127', 'metric/d_nonzero': '0.5102', 'phi/constraint': '0.0004692', 'phi/lambda': '4.109', 'phi/obj': '0.003638', 'phi/violation_rate': '0.5015', 'sac/actor_loss': '-46.46', 'sac/alpha': '0.05371', 'sac/q_loss': '8.973', 'sac/reward_mean': '0.3679'}
{'step': 37000, 'sps': '33.5', 'episodes': 123, 'metric/d_mean': '0.003374', 'metric/d_nonzero': '0.5134', 'phi/constraint': '0.0005663', 'phi/lambda': '4.126', 'phi/obj': '0.003758', 'phi/violation_rate': '0.5046', 'sac/actor_loss': '-47.59', 'sac/alpha': '0.05508', 'sac/q_loss': '9.572', 'sac/reward_mean': '0.3802'}
{'step': 38000, 'sps': '33.5', 'episodes': 126, 'metric/d_mean': '0.003336', 'metric/d_nonzero': '0.5174', 'phi/constraint': '0.0005459', 'phi/lambda': '4.217', 'phi/obj': '0.003911', 'phi/violation_rate': '0.5088', 'sac/actor_loss': '-48.66', 'sac/alpha': '0.05918', 'sac/q_loss': '9.071', 'sac/reward_mean': '0.3954'}
{'step': 39000, 'sps': '33.5', 'episodes': 130, 'metric/d_mean': '0.003363', 'metric/d_nonzero': '0.5236', 'phi/constraint': '0.0005334', 'phi/lambda': '4.31', 'phi/obj': '0.004089', 'phi/violation_rate': '0.5134', 'sac/actor_loss': '-49.79', 'sac/alpha': '0.06108', 'sac/q_loss': '8.967', 'sac/reward_mean': '0.4133'}
{'step': 40000, 'sps': '33.5', 'episodes': 133, 'metric/d_mean': '0.003434', 'metric/d_nonzero': '0.5288', 'phi/constraint': '0.0005831', 'phi/lambda': '4.594', 'phi/obj': '0.004204', 'phi/violation_rate': '0.5179', 'sac/actor_loss': '-50.95', 'sac/alpha': '0.06197', 'sac/q_loss': '9.482', 'sac/reward_mean': '0.425'}
{'step': 41000, 'sps': '33.5', 'episodes': 136, 'metric/d_mean': '0.00345', 'metric/d_nonzero': '0.5286', 'phi/constraint': '0.0005701', 'phi/lambda': '4.721', 'phi/obj': '0.003938', 'phi/violation_rate': '0.5164', 'sac/actor_loss': '-52.41', 'sac/alpha': '0.06472', 'sac/q_loss': '9.547', 'sac/reward_mean': '0.3983'}
