run=abl_fullstate_temporal_s1 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.5', 'episodes': 5}
{'step': 2000, 'sps': '76.9', 'episodes': 10}
{'step': 3000, 'sps': '77', 'episodes': 15}
{'step': 4000, 'sps': '77.3', 'episodes': 20}
{'step': 32000, 'sps': '37.8', 'episodes': 160, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1285', 'phi/lambda': '0.3865', 'phi/obj': '0.5608', 'phi/violation_rate': '0.4018', 'sac/actor_loss': '-4977', 'sac/alpha': '2.562', 'sac/q_loss': '1112', 'sac/reward_mean': '56.15'}
{'step': 33000, 'sps': '37.6', 'episodes': 165, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1278', 'phi/lambda': '0.3855', 'phi/obj': '0.5586', 'phi/violation_rate': '0.4024', 'sac/actor_loss': '-5064', 'sac/alpha': '2.571', 'sac/q_loss': '1164', 'sac/reward_mean': '55.93'}
{'step': 34000, 'sps': '37.5', 'episodes': 170, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.124', 'phi/lambda': '0.3852', 'phi/obj': '0.5648', 'phi/violation_rate': '0.4065', 'sac/actor_loss': '-5170', 'sac/alpha': '2.579', 'sac/q_loss': '1135', 'sac/reward_mean': '56.55'}
{'step': 35000, 'sps': '37.5', 'episodes': 175, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1208', 'phi/lambda': '0.3852', 'phi/obj': '0.5678', 'phi/violation_rate': '0.4061', 'sac/actor_loss': '-5265', 'sac/alpha': '2.558', 'sac/q_loss': '1156', 'sac/reward_mean': '56.86'}
{'step': 36000, 'sps': '37.4', 'episodes': 180, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1184', 'phi/lambda': '0.3887', 'phi/obj': '0.5742', 'phi/violation_rate': '0.4074', 'sac/actor_loss': '-5376', 'sac/alpha': '2.56', 'sac/q_loss': '1111', 'sac/reward_mean': '57.5'}
{'step': 37000, 'sps': '37.3', 'episodes': 185, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1156', 'phi/lambda': '0.3915', 'phi/obj': '0.5825', 'phi/violation_rate': '0.4094', 'sac/actor_loss': '-5498', 'sac/alpha': '2.597', 'sac/q_loss': '1122', 'sac/reward_mean': '58.32'}
{'step': 38000, 'sps': '37.2', 'episodes': 190, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1128', 'phi/lambda': '0.3927', 'phi/obj': '0.5891', 'phi/violation_rate': '0.4156', 'sac/actor_loss': '-5594', 'sac/alpha': '2.619', 'sac/q_loss': '1141', 'sac/reward_mean': '58.98'}
{'step': 39000, 'sps': '37.1', 'episodes': 195, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1105', 'phi/lambda': '0.3961', 'phi/obj': '0.5912', 'phi/violation_rate': '0.4131', 'sac/actor_loss': '-5674', 'sac/alpha': '2.638', 'sac/q_loss': '1133', 'sac/reward_mean': '59.19'}
{'step': 40000, 'sps': '37.1', 'episodes': 200, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.11', 'phi/lambda': '0.3927', 'phi/obj': '0.5963', 'phi/violation_rate': '0.4197', 'sac/actor_loss': '-5752', 'sac/alpha': '2.638', 'sac/q_loss': '1175', 'sac/reward_mean': '59.7'}
{'step': 41000, 'sps': '37', 'episodes': 205, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1089', 'phi/lambda': '0.3937', 'phi/obj': '0.5962', 'phi/violation_rate': '0.4181', 'sac/actor_loss': '-5803', 'sac/alpha': '2.662', 'sac/q_loss': '1178', 'sac/reward_mean': '59.69'}
{'step': 42000, 'sps': '36.9', 'episodes': 210, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1047', 'phi/lambda': '0.3917', 'phi/obj': '0.6007', 'phi/violation_rate': '0.4221', 'sac/actor_loss': '-5865', 'sac/alpha': '2.75', 'sac/q_loss': '1188', 'sac/reward_mean': '60.15'}
{'step': 43000, 'sps': '36.9', 'episodes': 215, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1058', 'phi/lambda': '0.3967', 'phi/obj': '0.5988', 'phi/violation_rate': '0.4121', 'sac/actor_loss': '-5914', 'sac/alpha': '2.814', 'sac/q_loss': '1331', 'sac/reward_mean': '59.96'}
{'step': 44000, 'sps': '36.8', 'episodes': 220, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1033', 'phi/lambda': '0.394', 'phi/obj': '0.6028', 'phi/violation_rate': '0.4227', 'sac/actor_loss': '-5971', 'sac/alpha': '2.833', 'sac/q_loss': '1317', 'sac/reward_mean': '60.36'}
{'step': 45000, 'sps': '36.7', 'episodes': 225, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1025', 'phi/lambda': '0.3962', 'phi/obj': '0.6039', 'phi/violation_rate': '0.4195', 'sac/actor_loss': '-6039', 'sac/alpha': '2.867', 'sac/q_loss': '1312', 'sac/reward_mean': '60.46'}
{'step': 46000, 'sps': '36.7', 'episodes': 230, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1013', 'phi/lambda': '0.3962', 'phi/obj': '0.6088', 'phi/violation_rate': '0.4233', 'sac/actor_loss': '-6109', 'sac/alpha': '2.909', 'sac/q_loss': '1302', 'sac/reward_mean': '60.95'}
{'step': 47000, 'sps': '36.6', 'episodes': 235, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09843', 'phi/lambda': '0.3983', 'phi/obj': '0.6125', 'phi/violation_rate': '0.418', 'sac/actor_loss': '-6164', 'sac/alpha': '2.965', 'sac/q_loss': '1415', 'sac/reward_mean': '61.32'}
{'step': 48000, 'sps': '36.6', 'episodes': 240, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1004', 'phi/lambda': '0.3977', 'phi/obj': '0.6124', 'phi/violation_rate': '0.4201', 'sac/actor_loss': '-6204', 'sac/alpha': '2.94', 'sac/q_loss': '1439', 'sac/reward_mean': '61.31'}
{'step': 49000, 'sps': '36.6', 'episodes': 245, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09801', 'phi/lambda': '0.3946', 'phi/obj': '0.615', 'phi/violation_rate': '0.4269', 'sac/actor_loss': '-6256', 'sac/alpha': '2.921', 'sac/q_loss': '1393', 'sac/reward_mean': '61.57'}
