run=tmsd_w2_rt_d4_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '66.9', 'episodes': 5}
{'step': 2000, 'sps': '67.8', 'episodes': 10}
{'step': 3000, 'sps': '68.3', 'episodes': 15}
{'step': 4000, 'sps': '68.7', 'episodes': 20}
{'step': 52000, 'sps': '24.5', 'episodes': 260, 'metric/d_mean': '0.002951', 'metric/d_nonzero': '0.2905', 'phi/constraint': '6.984e-06', 'phi/lambda': '13.33', 'phi/obj': '0.0006459', 'phi/violation_rate': '0.03832', 'sac/actor_loss': '-11.59', 'sac/alpha': '0.007017', 'sac/q_loss': '0.5027', 'sac/reward_mean': '0.06484'}
{'step': 53000, 'sps': '24.5', 'episodes': 265, 'metric/d_mean': '0.002974', 'metric/d_nonzero': '0.2921', 'phi/constraint': '7.428e-06', 'phi/lambda': '13.54', 'phi/obj': '0.0006501', 'phi/violation_rate': '0.03612', 'sac/actor_loss': '-11.71', 'sac/alpha': '0.00709', 'sac/q_loss': '0.4535', 'sac/reward_mean': '0.06524'}
{'step': 54000, 'sps': '24.4', 'episodes': 270, 'metric/d_mean': '0.002972', 'metric/d_nonzero': '0.2927', 'phi/constraint': '6.92e-06', 'phi/lambda': '13.42', 'phi/obj': '0.0006574', 'phi/violation_rate': '0.03715', 'sac/actor_loss': '-11.78', 'sac/alpha': '0.007121', 'sac/q_loss': '0.395', 'sac/reward_mean': '0.06597'}
{'step': 55000, 'sps': '24.4', 'episodes': 275, 'metric/d_mean': '0.003004', 'metric/d_nonzero': '0.2938', 'phi/constraint': '7.02e-06', 'phi/lambda': '13.67', 'phi/obj': '0.0006695', 'phi/violation_rate': '0.03853', 'sac/actor_loss': '-11.97', 'sac/alpha': '0.007188', 'sac/q_loss': '0.3923', 'sac/reward_mean': '0.06717'}
{'step': 56000, 'sps': '24.4', 'episodes': 280, 'metric/d_mean': '0.003053', 'metric/d_nonzero': '0.2972', 'phi/constraint': '7.21e-06', 'phi/lambda': '13.46', 'phi/obj': '0.0006783', 'phi/violation_rate': '0.03795', 'sac/actor_loss': '-12.11', 'sac/alpha': '0.007548', 'sac/q_loss': '0.3897', 'sac/reward_mean': '0.06806'}
{'step': 57000, 'sps': '24.3', 'episodes': 285, 'metric/d_mean': '0.003144', 'metric/d_nonzero': '0.3011', 'phi/constraint': '7.035e-06', 'phi/lambda': '13.62', 'phi/obj': '0.0007378', 'phi/violation_rate': '0.03886', 'sac/actor_loss': '-12.45', 'sac/alpha': '0.007787', 'sac/q_loss': '0.3916', 'sac/reward_mean': '0.07401'}
{'step': 58000, 'sps': '24.3', 'episodes': 290, 'metric/d_mean': '0.003188', 'metric/d_nonzero': '0.3033', 'phi/constraint': '7.421e-06', 'phi/lambda': '13.95', 'phi/obj': '0.0007732', 'phi/violation_rate': '0.03812', 'sac/actor_loss': '-12.71', 'sac/alpha': '0.007906', 'sac/q_loss': '0.408', 'sac/reward_mean': '0.07756'}
{'step': 59000, 'sps': '24.3', 'episodes': 295, 'metric/d_mean': '0.003289', 'metric/d_nonzero': '0.3078', 'phi/constraint': '7.61e-06', 'phi/lambda': '14.13', 'phi/obj': '0.0008267', 'phi/violation_rate': '0.03956', 'sac/actor_loss': '-13.13', 'sac/alpha': '0.007924', 'sac/q_loss': '0.4572', 'sac/reward_mean': '0.0829'}
{'step': 60000, 'sps': '24.3', 'episodes': 300, 'metric/d_mean': '0.003376', 'metric/d_nonzero': '0.3116', 'phi/constraint': '8.111e-06', 'phi/lambda': '13.75', 'phi/obj': '0.0008434', 'phi/violation_rate': '0.03982', 'sac/actor_loss': '-13.42', 'sac/alpha': '0.0083', 'sac/q_loss': '0.4495', 'sac/reward_mean': '0.08458'}
{'step': 61000, 'sps': '24.2', 'episodes': 305, 'metric/d_mean': '0.003429', 'metric/d_nonzero': '0.3155', 'phi/constraint': '7.53e-06', 'phi/lambda': '13.87', 'phi/obj': '0.0008793', 'phi/violation_rate': '0.04222', 'sac/actor_loss': '-13.74', 'sac/alpha': '0.00843', 'sac/q_loss': '0.4588', 'sac/reward_mean': '0.08818'}
{'step': 62000, 'sps': '24.2', 'episodes': 310, 'metric/d_mean': '0.003484', 'metric/d_nonzero': '0.3188', 'phi/constraint': '7.667e-06', 'phi/lambda': '13.92', 'phi/obj': '0.000899', 'phi/violation_rate': '0.04334', 'sac/actor_loss': '-13.91', 'sac/alpha': '0.008994', 'sac/q_loss': '0.4603', 'sac/reward_mean': '0.09014'}
{'step': 63000, 'sps': '24.2', 'episodes': 315, 'metric/d_mean': '0.003546', 'metric/d_nonzero': '0.3229', 'phi/constraint': '8.136e-06', 'phi/lambda': '13.96', 'phi/obj': '0.0009298', 'phi/violation_rate': '0.04241', 'sac/actor_loss': '-14.15', 'sac/alpha': '0.00941', 'sac/q_loss': '0.4817', 'sac/reward_mean': '0.09322'}
{'step': 64000, 'sps': '24.2', 'episodes': 320, 'metric/d_mean': '0.003618', 'metric/d_nonzero': '0.3271', 'phi/constraint': '7.965e-06', 'phi/lambda': '13.77', 'phi/obj': '0.0009581', 'phi/violation_rate': '0.04439', 'sac/actor_loss': '-14.44', 'sac/alpha': '0.009858', 'sac/q_loss': '0.4811', 'sac/reward_mean': '0.09604'}
{'step': 65000, 'sps': '24.1', 'episodes': 325, 'metric/d_mean': '0.003663', 'metric/d_nonzero': '0.3289', 'phi/constraint': '8.349e-06', 'phi/lambda': '13.93', 'phi/obj': '0.0009821', 'phi/violation_rate': '0.0443', 'sac/actor_loss': '-14.85', 'sac/alpha': '0.01036', 'sac/q_loss': '0.4872', 'sac/reward_mean': '0.09845'}
{'step': 66000, 'sps': '24.1', 'episodes': 330, 'metric/d_mean': '0.00381', 'metric/d_nonzero': '0.3354', 'phi/constraint': '8.43e-06', 'phi/lambda': '14.2', 'phi/obj': '0.001078', 'phi/violation_rate': '0.04728', 'sac/actor_loss': '-15.61', 'sac/alpha': '0.01094', 'sac/q_loss': '0.4768', 'sac/reward_mean': '0.108'}
{'step': 67000, 'sps': '24.1', 'episodes': 335, 'metric/d_mean': '0.003938', 'metric/d_nonzero': '0.3422', 'phi/constraint': '8.84e-06', 'phi/lambda': '14.53', 'phi/obj': '0.001148', 'phi/violation_rate': '0.0477', 'sac/actor_loss': '-16.27', 'sac/alpha': '0.01147', 'sac/q_loss': '0.494', 'sac/reward_mean': '0.115'}
{'step': 68000, 'sps': '24.1', 'episodes': 340, 'metric/d_mean': '0.003994', 'metric/d_nonzero': '0.3454', 'phi/constraint': '8.796e-06', 'phi/lambda': '14.6', 'phi/obj': '0.001158', 'phi/violation_rate': '0.04867', 'sac/actor_loss': '-16.48', 'sac/alpha': '0.01188', 'sac/q_loss': '0.4789', 'sac/reward_mean': '0.1161'}
{'step': 69000, 'sps': '24.1', 'episodes': 345, 'metric/d_mean': '0.004018', 'metric/d_nonzero': '0.3466', 'phi/constraint': '8.877e-06', 'phi/lambda': '14.3', 'phi/obj': '0.001159', 'phi/violation_rate': '0.04973', 'sac/actor_loss': '-16.69', 'sac/alpha': '0.01189', 'sac/q_loss': '0.5057', 'sac/reward_mean': '0.1162'}
{'step': 70000, 'sps': '24.1', 'episodes': 350, 'metric/d_mean': '0.004016', 'metric/d_nonzero': '0.3458', 'phi/constraint': '8.925e-06', 'phi/lambda': '14.36', 'phi/obj': '0.001165', 'phi/violation_rate': '0.04965', 'sac/actor_loss': '-16.91', 'sac/alpha': '0.01211', 'sac/q_loss': '0.4878', 'sac/reward_mean': '0.1167'}
{'step': 71000, 'sps': '24', 'episodes': 355, 'metric/d_mean': '0.004056', 'metric/d_nonzero': '0.3479', 'phi/constraint': '8.81e-06', 'phi/lambda': '14.32', 'phi/obj': '0.001184', 'phi/violation_rate': '0.04989', 'sac/actor_loss': '-17.23', 'sac/alpha': '0.01251', 'sac/q_loss': '0.4755', 'sac/reward_mean': '0.1186'}
{'step': 72000, 'sps': '24', 'episodes': 360, 'metric/d_mean': '0.004078', 'metric/d_nonzero': '0.3498', 'phi/constraint': '8.895e-06', 'phi/lambda': '14.21', 'phi/obj': '0.001178', 'phi/violation_rate': '0.04983', 'sac/actor_loss': '-17.44', 'sac/alpha': '0.01286', 'sac/q_loss': '0.4814', 'sac/reward_mean': '0.118'}
{'step': 73000, 'sps': '24', 'episodes': 365, 'metric/d_mean': '0.004137', 'metric/d_nonzero': '0.3526', 'phi/constraint': '8.917e-06', 'phi/lambda': '14.21', 'phi/obj': '0.001213', 'phi/violation_rate': '0.0509', 'sac/actor_loss': '-17.8', 'sac/alpha': '0.01285', 'sac/q_loss': '0.4726', 'sac/reward_mean': '0.1215'}
{'step': 74000, 'sps': '24', 'episodes': 370, 'metric/d_mean': '0.004182', 'metric/d_nonzero': '0.3538', 'phi/constraint': '9.265e-06', 'phi/lambda': '14.22', 'phi/obj': '0.001219', 'phi/violation_rate': '0.05022', 'sac/actor_loss': '-18.11', 'sac/alpha': '0.01282', 'sac/q_loss': '0.4736', 'sac/reward_mean': '0.1221'}
{'step': 75000, 'sps': '24', 'episodes': 375, 'metric/d_mean': '0.004246', 'metric/d_nonzero': '0.3577', 'phi/constraint': '9.284e-06', 'phi/lambda': '13.96', 'phi/obj': '0.001243', 'phi/violation_rate': '0.05167', 'sac/actor_loss': '-18.4', 'sac/alpha': '0.01265', 'sac/q_loss': '0.4864', 'sac/reward_mean': '0.1245'}
