run=stage2_1d_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '75.7', 'episodes': 3}
{'step': 2000, 'sps': '74.8', 'episodes': 6}
{'step': 3000, 'sps': '72.2', 'episodes': 10}
{'step': 4000, 'sps': '72.1', 'episodes': 13}
{'step': 31000, 'sps': '33.7', 'episodes': 103, 'metric/d_mean': '0.0005789', 'metric/d_nonzero': '0.2362', 'phi/constraint': '4.119e-07', 'phi/lambda': '87.84', 'phi/obj': '0.0001924', 'phi/violation_rate': '0.03739', 'sac/actor_loss': '-11.49', 'sac/alpha': '0.003923', 'sac/q_loss': '0.01895', 'sac/reward_mean': '0.01933'}
{'step': 32000, 'sps': '33.7', 'episodes': 106, 'metric/d_mean': '0.0006521', 'metric/d_nonzero': '0.254', 'phi/constraint': '4.691e-07', 'phi/lambda': '82.88', 'phi/obj': '0.0002192', 'phi/violation_rate': '0.04139', 'sac/actor_loss': '-11.15', 'sac/alpha': '0.004407', 'sac/q_loss': '0.01955', 'sac/reward_mean': '0.02203'}
{'step': 33000, 'sps': '33.6', 'episodes': 110, 'metric/d_mean': '0.0007079', 'metric/d_nonzero': '0.2699', 'phi/constraint': '5.143e-07', 'phi/lambda': '79.78', 'phi/obj': '0.0002302', 'phi/violation_rate': '0.04674', 'sac/actor_loss': '-10.87', 'sac/alpha': '0.004631', 'sac/q_loss': '0.02264', 'sac/reward_mean': '0.02314'}
{'step': 34000, 'sps': '33.7', 'episodes': 113, 'metric/d_mean': '0.0007408', 'metric/d_nonzero': '0.2778', 'phi/constraint': '5.553e-07', 'phi/lambda': '76.67', 'phi/obj': '0.0002334', 'phi/violation_rate': '0.04923', 'sac/actor_loss': '-10.52', 'sac/alpha': '0.004625', 'sac/q_loss': '0.02291', 'sac/reward_mean': '0.02345'}
{'step': 35000, 'sps': '33.7', 'episodes': 116, 'metric/d_mean': '0.0007619', 'metric/d_nonzero': '0.2854', 'phi/constraint': '5.822e-07', 'phi/lambda': '74.11', 'phi/obj': '0.0002292', 'phi/violation_rate': '0.05039', 'sac/actor_loss': '-10.16', 'sac/alpha': '0.004505', 'sac/q_loss': '0.02268', 'sac/reward_mean': '0.02303'}
{'step': 36000, 'sps': '33.6', 'episodes': 120, 'metric/d_mean': '0.0008001', 'metric/d_nonzero': '0.295', 'phi/constraint': '5.515e-07', 'phi/lambda': '69.14', 'phi/obj': '0.0002355', 'phi/violation_rate': '0.05522', 'sac/actor_loss': '-9.751', 'sac/alpha': '0.004692', 'sac/q_loss': '0.02306', 'sac/reward_mean': '0.02369'}
{'step': 37000, 'sps': '33.6', 'episodes': 123, 'metric/d_mean': '0.0008539', 'metric/d_nonzero': '0.3082', 'phi/constraint': '6.094e-07', 'phi/lambda': '68.75', 'phi/obj': '0.0002521', 'phi/violation_rate': '0.05948', 'sac/actor_loss': '-9.453', 'sac/alpha': '0.004867', 'sac/q_loss': '0.02277', 'sac/reward_mean': '0.02535'}
{'step': 38000, 'sps': '33.6', 'episodes': 126, 'metric/d_mean': '0.0008667', 'metric/d_nonzero': '0.3104', 'phi/constraint': '6.126e-07', 'phi/lambda': '64.5', 'phi/obj': '0.0002457', 'phi/violation_rate': '0.06075', 'sac/actor_loss': '-9.146', 'sac/alpha': '0.004767', 'sac/q_loss': '0.02293', 'sac/reward_mean': '0.02473'}
{'step': 39000, 'sps': '33.6', 'episodes': 130, 'metric/d_mean': '0.0008856', 'metric/d_nonzero': '0.3172', 'phi/constraint': '6.211e-07', 'phi/lambda': '64.92', 'phi/obj': '0.0002505', 'phi/violation_rate': '0.06368', 'sac/actor_loss': '-8.881', 'sac/alpha': '0.00462', 'sac/q_loss': '0.02237', 'sac/reward_mean': '0.0252'}
{'step': 40000, 'sps': '33.6', 'episodes': 133, 'metric/d_mean': '0.0009011', 'metric/d_nonzero': '0.3243', 'phi/constraint': '6.393e-07', 'phi/lambda': '64.79', 'phi/obj': '0.000252', 'phi/violation_rate': '0.06398', 'sac/actor_loss': '-8.58', 'sac/alpha': '0.004507', 'sac/q_loss': '0.02295', 'sac/reward_mean': '0.02535'}
{'step': 41000, 'sps': '33.6', 'episodes': 136, 'metric/d_mean': '0.0009297', 'metric/d_nonzero': '0.3312', 'phi/constraint': '6.743e-07', 'phi/lambda': '62.45', 'phi/obj': '0.0002501', 'phi/violation_rate': '0.06439', 'sac/actor_loss': '-8.334', 'sac/alpha': '0.004612', 'sac/q_loss': '0.02308', 'sac/reward_mean': '0.02516'}
{'step': 42000, 'sps': '33.6', 'episodes': 140, 'metric/d_mean': '0.0009392', 'metric/d_nonzero': '0.3356', 'phi/constraint': '6.952e-07', 'phi/lambda': '62.33', 'phi/obj': '0.0002509', 'phi/violation_rate': '0.06415', 'sac/actor_loss': '-8.139', 'sac/alpha': '0.00466', 'sac/q_loss': '0.02338', 'sac/reward_mean': '0.02525'}
{'step': 43000, 'sps': '33.6', 'episodes': 143, 'metric/d_mean': '0.0009518', 'metric/d_nonzero': '0.3382', 'phi/constraint': '7.135e-07', 'phi/lambda': '60.93', 'phi/obj': '0.000251', 'phi/violation_rate': '0.06584', 'sac/actor_loss': '-7.902', 'sac/alpha': '0.004628', 'sac/q_loss': '0.02322', 'sac/reward_mean': '0.02525'}
{'step': 44000, 'sps': '33.6', 'episodes': 146, 'metric/d_mean': '0.0009661', 'metric/d_nonzero': '0.3422', 'phi/constraint': '6.971e-07', 'phi/lambda': '61.03', 'phi/obj': '0.0002553', 'phi/violation_rate': '0.0702', 'sac/actor_loss': '-7.69', 'sac/alpha': '0.004491', 'sac/q_loss': '0.02464', 'sac/reward_mean': '0.02569'}
{'step': 45000, 'sps': '33.6', 'episodes': 150, 'metric/d_mean': '0.0009852', 'metric/d_nonzero': '0.3478', 'phi/constraint': '7.213e-07', 'phi/lambda': '61.59', 'phi/obj': '0.0002631', 'phi/violation_rate': '0.07107', 'sac/actor_loss': '-7.543', 'sac/alpha': '0.004541', 'sac/q_loss': '0.02494', 'sac/reward_mean': '0.02648'}
{'step': 46000, 'sps': '33.5', 'episodes': 153, 'metric/d_mean': '0.0009925', 'metric/d_nonzero': '0.3491', 'phi/constraint': '7.254e-07', 'phi/lambda': '61.2', 'phi/obj': '0.0002635', 'phi/violation_rate': '0.07036', 'sac/actor_loss': '-7.312', 'sac/alpha': '0.004479', 'sac/q_loss': '0.02518', 'sac/reward_mean': '0.02651'}
