run=dads_full_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '63.7', 'episodes': 5}
{'step': 2000, 'sps': '64.7', 'episodes': 10}
{'step': 3000, 'sps': '64.8', 'episodes': 15}
{'step': 4000, 'sps': '64.8', 'episodes': 20}
{'step': 46000, 'sps': '30.7', 'episodes': 230, 'phi/obj': '-0.0003275', 'sac/actor_loss': '-100.6', 'sac/alpha': '0.08075', 'sac/q_loss': '11', 'sac/reward_mean': '0.7459'}
{'step': 47000, 'sps': '30.7', 'episodes': 235, 'phi/obj': '-0.0003316', 'sac/actor_loss': '-100.8', 'sac/alpha': '0.07839', 'sac/q_loss': '11.4', 'sac/reward_mean': '0.7352'}
{'step': 48000, 'sps': '30.6', 'episodes': 240, 'phi/obj': '-0.0003247', 'sac/actor_loss': '-100.7', 'sac/alpha': '0.07793', 'sac/q_loss': '11.24', 'sac/reward_mean': '0.7301'}
{'step': 49000, 'sps': '30.6', 'episodes': 245, 'phi/obj': '-0.0003286', 'sac/actor_loss': '-100.3', 'sac/alpha': '0.07751', 'sac/q_loss': '11.35', 'sac/reward_mean': '0.7128'}
{'step': 50000, 'sps': '30.5', 'episodes': 250, 'phi/obj': '-0.0003157', 'sac/actor_loss': '-99.91', 'sac/alpha': '0.07577', 'sac/q_loss': '10.51', 'sac/reward_mean': '0.7049'}
{'step': 51000, 'sps': '30.5', 'episodes': 255, 'phi/obj': '-0.0003223', 'sac/actor_loss': '-99.21', 'sac/alpha': '0.07416', 'sac/q_loss': '11.27', 'sac/reward_mean': '0.6926'}
{'step': 52000, 'sps': '30.5', 'episodes': 260, 'phi/obj': '-0.000318', 'sac/actor_loss': '-98.7', 'sac/alpha': '0.07148', 'sac/q_loss': '11.08', 'sac/reward_mean': '0.6843'}
{'step': 53000, 'sps': '30.4', 'episodes': 265, 'phi/obj': '-0.0003156', 'sac/actor_loss': '-97.8', 'sac/alpha': '0.07056', 'sac/q_loss': '11.13', 'sac/reward_mean': '0.6855'}
{'step': 54000, 'sps': '30.4', 'episodes': 270, 'phi/obj': '-0.0003229', 'sac/actor_loss': '-97', 'sac/alpha': '0.07032', 'sac/q_loss': '11.44', 'sac/reward_mean': '0.6858'}
{'step': 55000, 'sps': '30.4', 'episodes': 275, 'phi/obj': '-0.000319', 'sac/actor_loss': '-96.36', 'sac/alpha': '0.06869', 'sac/q_loss': '11.64', 'sac/reward_mean': '0.6847'}
{'step': 56000, 'sps': '30.4', 'episodes': 280, 'phi/obj': '-0.0003137', 'sac/actor_loss': '-95.94', 'sac/alpha': '0.06906', 'sac/q_loss': '10.92', 'sac/reward_mean': '0.6839'}
