run=mi_soil_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.7', 'episodes': 5}
{'step': 2000, 'sps': '69.3', 'episodes': 10}
{'step': 3000, 'sps': '67.3', 'episodes': 15}
{'step': 4000, 'sps': '66.3', 'episodes': 20}
{'step': 47000, 'sps': '31.1', 'episodes': 235, 'phi/obj': '0.9598', 'sac/actor_loss': '-87.95', 'sac/alpha': '0.00295', 'sac/q_loss': '0.05283', 'sac/reward_mean': '0.9609'}
{'step': 48000, 'sps': '31.1', 'episodes': 240, 'phi/obj': '0.9564', 'sac/actor_loss': '-88.36', 'sac/alpha': '0.003127', 'sac/q_loss': '0.05608', 'sac/reward_mean': '0.9576'}
{'step': 49000, 'sps': '31.1', 'episodes': 245, 'phi/obj': '0.9623', 'sac/actor_loss': '-88.78', 'sac/alpha': '0.003013', 'sac/q_loss': '0.04273', 'sac/reward_mean': '0.9637'}
{'step': 50000, 'sps': '31.1', 'episodes': 250, 'phi/obj': '0.9663', 'sac/actor_loss': '-89.21', 'sac/alpha': '0.002757', 'sac/q_loss': '0.04931', 'sac/reward_mean': '0.9676'}
{'step': 51000, 'sps': '31.1', 'episodes': 255, 'phi/obj': '0.9692', 'sac/actor_loss': '-89.62', 'sac/alpha': '0.002652', 'sac/q_loss': '0.04099', 'sac/reward_mean': '0.9704'}
{'step': 52000, 'sps': '31.1', 'episodes': 260, 'phi/obj': '0.966', 'sac/actor_loss': '-89.99', 'sac/alpha': '0.002648', 'sac/q_loss': '0.0446', 'sac/reward_mean': '0.9673'}
{'step': 53000, 'sps': '31.1', 'episodes': 265, 'phi/obj': '0.9696', 'sac/actor_loss': '-90.34', 'sac/alpha': '0.002765', 'sac/q_loss': '0.03783', 'sac/reward_mean': '0.9708'}
{'step': 54000, 'sps': '31.1', 'episodes': 270, 'phi/obj': '0.9678', 'sac/actor_loss': '-90.7', 'sac/alpha': '0.002894', 'sac/q_loss': '0.05242', 'sac/reward_mean': '0.9688'}
{'step': 55000, 'sps': '31.1', 'episodes': 275, 'phi/obj': '0.9582', 'sac/actor_loss': '-90.98', 'sac/alpha': '0.002769', 'sac/q_loss': '0.06233', 'sac/reward_mean': '0.9595'}
{'step': 56000, 'sps': '31.1', 'episodes': 280, 'phi/obj': '0.9645', 'sac/actor_loss': '-91.25', 'sac/alpha': '0.002855', 'sac/q_loss': '0.04831', 'sac/reward_mean': '0.9658'}
{'step': 57000, 'sps': '31.1', 'episodes': 285, 'phi/obj': '0.9706', 'sac/actor_loss': '-91.56', 'sac/alpha': '0.002629', 'sac/q_loss': '0.04583', 'sac/reward_mean': '0.9718'}
{'step': 58000, 'sps': '31.1', 'episodes': 290, 'phi/obj': '0.9686', 'sac/actor_loss': '-91.82', 'sac/alpha': '0.002564', 'sac/q_loss': '0.05336', 'sac/reward_mean': '0.9699'}
{'step': 59000, 'sps': '31.1', 'episodes': 295, 'phi/obj': '0.971', 'sac/actor_loss': '-92.11', 'sac/alpha': '0.002696', 'sac/q_loss': '0.04361', 'sac/reward_mean': '0.9723'}
{'step': 60000, 'sps': '31.1', 'episodes': 300, 'phi/obj': '0.9712', 'sac/actor_loss': '-92.34', 'sac/alpha': '0.002626', 'sac/q_loss': '0.04536', 'sac/reward_mean': '0.9725'}
{'step': 61000, 'sps': '31.1', 'episodes': 305, 'phi/obj': '0.971', 'sac/actor_loss': '-92.56', 'sac/alpha': '0.00251', 'sac/q_loss': '0.04672', 'sac/reward_mean': '0.9721'}
{'step': 62000, 'sps': '31.1', 'episodes': 310, 'phi/obj': '0.9692', 'sac/actor_loss': '-92.8', 'sac/alpha': '0.002436', 'sac/q_loss': '0.04713', 'sac/reward_mean': '0.9704'}
{'step': 63000, 'sps': '31.1', 'episodes': 315, 'phi/obj': '0.9706', 'sac/actor_loss': '-93.03', 'sac/alpha': '0.002512', 'sac/q_loss': '0.04155', 'sac/reward_mean': '0.9717'}
{'step': 64000, 'sps': '31.1', 'episodes': 320, 'phi/obj': '0.9715', 'sac/actor_loss': '-93.22', 'sac/alpha': '0.00243', 'sac/q_loss': '0.03954', 'sac/reward_mean': '0.9728'}
{'step': 65000, 'sps': '31.1', 'episodes': 325, 'phi/obj': '0.9728', 'sac/actor_loss': '-93.43', 'sac/alpha': '0.002368', 'sac/q_loss': '0.03558', 'sac/reward_mean': '0.9741'}
{'step': 66000, 'sps': '31.1', 'episodes': 330, 'phi/obj': '0.9701', 'sac/actor_loss': '-93.62', 'sac/alpha': '0.002297', 'sac/q_loss': '0.04219', 'sac/reward_mean': '0.9714'}
{'step': 67000, 'sps': '31.1', 'episodes': 335, 'phi/obj': '0.9716', 'sac/actor_loss': '-93.78', 'sac/alpha': '0.002363', 'sac/q_loss': '0.03963', 'sac/reward_mean': '0.973'}
{'step': 68000, 'sps': '31.1', 'episodes': 340, 'phi/obj': '0.9751', 'sac/actor_loss': '-94.01', 'sac/alpha': '0.002288', 'sac/q_loss': '0.03696', 'sac/reward_mean': '0.9763'}
{'step': 69000, 'sps': '31.1', 'episodes': 345, 'phi/obj': '0.9715', 'sac/actor_loss': '-94.22', 'sac/alpha': '0.002187', 'sac/q_loss': '0.04243', 'sac/reward_mean': '0.9727'}
{'step': 70000, 'sps': '31.1', 'episodes': 350, 'phi/obj': '0.974', 'sac/actor_loss': '-94.35', 'sac/alpha': '0.002303', 'sac/q_loss': '0.04509', 'sac/reward_mean': '0.9751'}
{'step': 71000, 'sps': '31.1', 'episodes': 355, 'phi/obj': '0.9741', 'sac/actor_loss': '-94.51', 'sac/alpha': '0.002282', 'sac/q_loss': '0.0351', 'sac/reward_mean': '0.9755'}
{'step': 72000, 'sps': '31.1', 'episodes': 360, 'phi/obj': '0.9746', 'sac/actor_loss': '-94.62', 'sac/alpha': '0.002493', 'sac/q_loss': '0.1911', 'sac/reward_mean': '0.9759'}
{'step': 73000, 'sps': '31.1', 'episodes': 365, 'phi/obj': '0.9758', 'sac/actor_loss': '-94.72', 'sac/alpha': '0.002828', 'sac/q_loss': '0.3955', 'sac/reward_mean': '0.977'}
{'step': 74000, 'sps': '31.1', 'episodes': 370, 'phi/obj': '0.9746', 'sac/actor_loss': '-94.83', 'sac/alpha': '0.002854', 'sac/q_loss': '0.704', 'sac/reward_mean': '0.9757'}
{'step': 75000, 'sps': '31.1', 'episodes': 375, 'phi/obj': '0.9666', 'sac/actor_loss': '-94.92', 'sac/alpha': '0.003019', 'sac/q_loss': '0.2139', 'sac/reward_mean': '0.9682'}
{'step': 76000, 'sps': '31.1', 'episodes': 380, 'phi/obj': '0.9693', 'sac/actor_loss': '-95.01', 'sac/alpha': '0.003093', 'sac/q_loss': '0.3358', 'sac/reward_mean': '0.9707'}
{'step': 77000, 'sps': '31.1', 'episodes': 385, 'phi/obj': '0.9674', 'sac/actor_loss': '-95.09', 'sac/alpha': '0.003183', 'sac/q_loss': '0.342', 'sac/reward_mean': '0.9687'}
{'step': 78000, 'sps': '31.1', 'episodes': 390, 'phi/obj': '0.9683', 'sac/actor_loss': '-95.18', 'sac/alpha': '0.003045', 'sac/q_loss': '0.176', 'sac/reward_mean': '0.9696'}
{'step': 79000, 'sps': '31.1', 'episodes': 395, 'phi/obj': '0.9688', 'sac/actor_loss': '-95.27', 'sac/alpha': '0.00305', 'sac/q_loss': '0.1987', 'sac/reward_mean': '0.9702'}
{'step': 80000, 'sps': '31.1', 'episodes': 400, 'phi/obj': '0.9696', 'sac/actor_loss': '-95.35', 'sac/alpha': '0.003209', 'sac/q_loss': '0.2258', 'sac/reward_mean': '0.9711'}
{'step': 81000, 'sps': '31.1', 'episodes': 405, 'phi/obj': '0.9736', 'sac/actor_loss': '-95.4', 'sac/alpha': '0.003084', 'sac/q_loss': '0.2154', 'sac/reward_mean': '0.975'}
{'step': 82000, 'sps': '31.1', 'episodes': 410, 'phi/obj': '0.9742', 'sac/actor_loss': '-95.46', 'sac/alpha': '0.002834', 'sac/q_loss': '0.147', 'sac/reward_mean': '0.9754'}
{'step': 83000, 'sps': '31.1', 'episodes': 415, 'phi/obj': '0.972', 'sac/actor_loss': '-95.54', 'sac/alpha': '0.002714', 'sac/q_loss': '0.192', 'sac/reward_mean': '0.9734'}
