run=abl_fullstate_temporal_s2 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '77', 'episodes': 5}
{'step': 2000, 'sps': '77.3', 'episodes': 10}
{'step': 3000, 'sps': '77.7', 'episodes': 15}
{'step': 4000, 'sps': '77.9', 'episodes': 20}
{'step': 5000, 'sps': '77.9', 'episodes': 25}
{'step': 45000, 'sps': '37', 'episodes': 225, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.106', 'phi/lambda': '0.4158', 'phi/obj': '0.6326', 'phi/violation_rate': '0.4105', 'sac/actor_loss': '-6435', 'sac/alpha': '2.659', 'sac/q_loss': '2135', 'sac/reward_mean': '63.36'}
{'step': 46000, 'sps': '36.9', 'episodes': 230, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.107', 'phi/lambda': '0.4157', 'phi/obj': '0.634', 'phi/violation_rate': '0.408', 'sac/actor_loss': '-6501', 'sac/alpha': '2.654', 'sac/q_loss': '2132', 'sac/reward_mean': '63.5'}
{'step': 47000, 'sps': '36.9', 'episodes': 235, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1036', 'phi/lambda': '0.4175', 'phi/obj': '0.6388', 'phi/violation_rate': '0.4143', 'sac/actor_loss': '-6568', 'sac/alpha': '2.598', 'sac/q_loss': '2246', 'sac/reward_mean': '63.97'}
{'step': 48000, 'sps': '36.8', 'episodes': 240, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.105', 'phi/lambda': '0.4194', 'phi/obj': '0.6377', 'phi/violation_rate': '0.4102', 'sac/actor_loss': '-6597', 'sac/alpha': '2.599', 'sac/q_loss': '2398', 'sac/reward_mean': '63.87'}
{'step': 49000, 'sps': '36.8', 'episodes': 245, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1035', 'phi/lambda': '0.4202', 'phi/obj': '0.6429', 'phi/violation_rate': '0.413', 'sac/actor_loss': '-6663', 'sac/alpha': '2.634', 'sac/q_loss': '2209', 'sac/reward_mean': '64.38'}
{'step': 50000, 'sps': '36.7', 'episodes': 250, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1', 'phi/lambda': '0.4204', 'phi/obj': '0.648', 'phi/violation_rate': '0.4145', 'sac/actor_loss': '-6724', 'sac/alpha': '2.698', 'sac/q_loss': '2296', 'sac/reward_mean': '64.9'}
{'step': 51000, 'sps': '36.7', 'episodes': 255, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1', 'phi/lambda': '0.4213', 'phi/obj': '0.6486', 'phi/violation_rate': '0.4128', 'sac/actor_loss': '-6772', 'sac/alpha': '2.733', 'sac/q_loss': '2356', 'sac/reward_mean': '64.96'}
{'step': 52000, 'sps': '36.6', 'episodes': 260, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.101', 'phi/lambda': '0.4193', 'phi/obj': '0.6488', 'phi/violation_rate': '0.4154', 'sac/actor_loss': '-6805', 'sac/alpha': '2.814', 'sac/q_loss': '2432', 'sac/reward_mean': '64.98'}
{'step': 53000, 'sps': '36.6', 'episodes': 265, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09825', 'phi/lambda': '0.4203', 'phi/obj': '0.6495', 'phi/violation_rate': '0.4161', 'sac/actor_loss': '-6843', 'sac/alpha': '2.801', 'sac/q_loss': '2345', 'sac/reward_mean': '65.05'}
{'step': 54000, 'sps': '36.6', 'episodes': 270, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09803', 'phi/lambda': '0.4217', 'phi/obj': '0.6513', 'phi/violation_rate': '0.4145', 'sac/actor_loss': '-6881', 'sac/alpha': '2.762', 'sac/q_loss': '2325', 'sac/reward_mean': '65.22'}
{'step': 55000, 'sps': '36.5', 'episodes': 275, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.099', 'phi/lambda': '0.4219', 'phi/obj': '0.6509', 'phi/violation_rate': '0.4104', 'sac/actor_loss': '-6907', 'sac/alpha': '2.753', 'sac/q_loss': '2360', 'sac/reward_mean': '65.19'}
{'step': 56000, 'sps': '36.5', 'episodes': 280, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.0971', 'phi/lambda': '0.4235', 'phi/obj': '0.6518', 'phi/violation_rate': '0.4117', 'sac/actor_loss': '-6936', 'sac/alpha': '2.812', 'sac/q_loss': '2388', 'sac/reward_mean': '65.28'}
{'step': 57000, 'sps': '36.4', 'episodes': 285, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09741', 'phi/lambda': '0.4224', 'phi/obj': '0.655', 'phi/violation_rate': '0.417', 'sac/actor_loss': '-6967', 'sac/alpha': '2.787', 'sac/q_loss': '2434', 'sac/reward_mean': '65.6'}
{'step': 58000, 'sps': '36.4', 'episodes': 290, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09456', 'phi/lambda': '0.423', 'phi/obj': '0.6591', 'phi/violation_rate': '0.418', 'sac/actor_loss': '-7000', 'sac/alpha': '2.815', 'sac/q_loss': '2410', 'sac/reward_mean': '66.01'}
{'step': 59000, 'sps': '36.4', 'episodes': 295, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09448', 'phi/lambda': '0.4237', 'phi/obj': '0.658', 'phi/violation_rate': '0.4164', 'sac/actor_loss': '-7026', 'sac/alpha': '2.787', 'sac/q_loss': '2499', 'sac/reward_mean': '65.9'}
{'step': 60000, 'sps': '36.4', 'episodes': 300, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09447', 'phi/lambda': '0.4239', 'phi/obj': '0.6606', 'phi/violation_rate': '0.4166', 'sac/actor_loss': '-7040', 'sac/alpha': '2.845', 'sac/q_loss': '2427', 'sac/reward_mean': '66.16'}
{'step': 61000, 'sps': '36.3', 'episodes': 305, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09474', 'phi/lambda': '0.4236', 'phi/obj': '0.6602', 'phi/violation_rate': '0.412', 'sac/actor_loss': '-7047', 'sac/alpha': '2.837', 'sac/q_loss': '2617', 'sac/reward_mean': '66.12'}
{'step': 62000, 'sps': '36.3', 'episodes': 310, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.0946', 'phi/lambda': '0.4256', 'phi/obj': '0.662', 'phi/violation_rate': '0.4112', 'sac/actor_loss': '-7081', 'sac/alpha': '2.851', 'sac/q_loss': '2564', 'sac/reward_mean': '66.3'}
{'step': 63000, 'sps': '36.3', 'episodes': 315, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09512', 'phi/lambda': '0.4233', 'phi/obj': '0.6637', 'phi/violation_rate': '0.4179', 'sac/actor_loss': '-7097', 'sac/alpha': '2.85', 'sac/q_loss': '2510', 'sac/reward_mean': '66.47'}
