run=abl_temporal_rt_d4_s1 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '68.5', 'episodes': 5}
{'step': 2000, 'sps': '68.9', 'episodes': 10}
{'step': 3000, 'sps': '69', 'episodes': 15}
{'step': 4000, 'sps': '69', 'episodes': 20}
{'step': 5000, 'sps': '69', 'episodes': 25}
{'step': 43000, 'sps': '26.6', 'episodes': 215, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6645', 'phi/lambda': '0.02057', 'phi/obj': '0.01451', 'phi/violation_rate': '0.08027', 'sac/actor_loss': '-518.6', 'sac/alpha': '0.5027', 'sac/q_loss': '1704', 'sac/reward_mean': '1.463'}
{'step': 44000, 'sps': '26.6', 'episodes': 220, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6494', 'phi/lambda': '0.01738', 'phi/obj': '0.01428', 'phi/violation_rate': '0.08309', 'sac/actor_loss': '-523', 'sac/alpha': '0.5039', 'sac/q_loss': '1761', 'sac/reward_mean': '1.441'}
{'step': 45000, 'sps': '26.7', 'episodes': 225, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6171', 'phi/lambda': '0.02146', 'phi/obj': '0.01709', 'phi/violation_rate': '0.08753', 'sac/actor_loss': '-530', 'sac/alpha': '0.518', 'sac/q_loss': '1928', 'sac/reward_mean': '1.721'}
{'step': 46000, 'sps': '26.7', 'episodes': 230, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6674', 'phi/lambda': '0.02297', 'phi/obj': '0.01494', 'phi/violation_rate': '0.08087', 'sac/actor_loss': '-533.9', 'sac/alpha': '0.5218', 'sac/q_loss': '1646', 'sac/reward_mean': '1.506'}
{'step': 47000, 'sps': '26.7', 'episodes': 235, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6365', 'phi/lambda': '0.02246', 'phi/obj': '0.01705', 'phi/violation_rate': '0.08507', 'sac/actor_loss': '-537.4', 'sac/alpha': '0.5098', 'sac/q_loss': '1869', 'sac/reward_mean': '1.717'}
{'step': 48000, 'sps': '26.7', 'episodes': 240, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6564', 'phi/lambda': '0.02325', 'phi/obj': '0.016', 'phi/violation_rate': '0.0831', 'sac/actor_loss': '-541.7', 'sac/alpha': '0.5234', 'sac/q_loss': '1768', 'sac/reward_mean': '1.613'}
{'step': 49000, 'sps': '26.7', 'episodes': 245, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6582', 'phi/lambda': '0.0208', 'phi/obj': '0.01619', 'phi/violation_rate': '0.08289', 'sac/actor_loss': '-547.5', 'sac/alpha': '0.55', 'sac/q_loss': '1772', 'sac/reward_mean': '1.631'}
{'step': 50000, 'sps': '26.8', 'episodes': 250, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6251', 'phi/lambda': '0.02224', 'phi/obj': '0.01603', 'phi/violation_rate': '0.08853', 'sac/actor_loss': '-553.2', 'sac/alpha': '0.53', 'sac/q_loss': '1934', 'sac/reward_mean': '1.616'}
{'step': 51000, 'sps': '26.8', 'episodes': 255, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6724', 'phi/lambda': '0.02297', 'phi/obj': '0.01495', 'phi/violation_rate': '0.08153', 'sac/actor_loss': '-556.4', 'sac/alpha': '0.5239', 'sac/q_loss': '1731', 'sac/reward_mean': '1.507'}
{'step': 52000, 'sps': '26.8', 'episodes': 260, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6296', 'phi/lambda': '0.02126', 'phi/obj': '0.01542', 'phi/violation_rate': '0.08784', 'sac/actor_loss': '-560.2', 'sac/alpha': '0.5327', 'sac/q_loss': '1957', 'sac/reward_mean': '1.553'}
{'step': 53000, 'sps': '26.8', 'episodes': 265, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6635', 'phi/lambda': '0.02011', 'phi/obj': '0.01434', 'phi/violation_rate': '0.08446', 'sac/actor_loss': '-563.5', 'sac/alpha': '0.5273', 'sac/q_loss': '1773', 'sac/reward_mean': '1.447'}
{'step': 54000, 'sps': '26.8', 'episodes': 270, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6577', 'phi/lambda': '0.01819', 'phi/obj': '0.01455', 'phi/violation_rate': '0.08484', 'sac/actor_loss': '-564.4', 'sac/alpha': '0.5039', 'sac/q_loss': '1802', 'sac/reward_mean': '1.467'}
{'step': 55000, 'sps': '26.8', 'episodes': 275, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.637', 'phi/lambda': '0.01979', 'phi/obj': '0.01503', 'phi/violation_rate': '0.08773', 'sac/actor_loss': '-566.3', 'sac/alpha': '0.5073', 'sac/q_loss': '1900', 'sac/reward_mean': '1.514'}
{'step': 56000, 'sps': '26.8', 'episodes': 280, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6169', 'phi/lambda': '0.02215', 'phi/obj': '0.01613', 'phi/violation_rate': '0.09213', 'sac/actor_loss': '-565.3', 'sac/alpha': '0.5113', 'sac/q_loss': '2006', 'sac/reward_mean': '1.626'}
{'step': 57000, 'sps': '26.8', 'episodes': 285, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6568', 'phi/lambda': '0.02378', 'phi/obj': '0.01459', 'phi/violation_rate': '0.08583', 'sac/actor_loss': '-564.8', 'sac/alpha': '0.5094', 'sac/q_loss': '1816', 'sac/reward_mean': '1.472'}
{'step': 58000, 'sps': '26.9', 'episodes': 290, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6555', 'phi/lambda': '0.02038', 'phi/obj': '0.01412', 'phi/violation_rate': '0.08627', 'sac/actor_loss': '-565.5', 'sac/alpha': '0.489', 'sac/q_loss': '1848', 'sac/reward_mean': '1.424'}
