run=dads_soil_s0 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '64', 'episodes': 5}
{'step': 2000, 'sps': '65', 'episodes': 10}
{'step': 3000, 'sps': '65', 'episodes': 15}
{'step': 4000, 'sps': '65', 'episodes': 20}
{'step': 63000, 'sps': '30.4', 'episodes': 315, 'phi/obj': '-1.705e-08', 'sac/actor_loss': '-2.377', 'sac/alpha': '0.0003132', 'sac/q_loss': '0.0001411', 'sac/reward_mean': '3.515e-05'}
{'step': 64000, 'sps': '30.3', 'episodes': 320, 'phi/obj': '-1.721e-08', 'sac/actor_loss': '-2.271', 'sac/alpha': '0.0003054', 'sac/q_loss': '0.0001415', 'sac/reward_mean': '3.31e-05'}
{'step': 65000, 'sps': '30.3', 'episodes': 325, 'phi/obj': '-1.714e-08', 'sac/actor_loss': '-2.173', 'sac/alpha': '0.0003042', 'sac/q_loss': '0.0001124', 'sac/reward_mean': '3.113e-05'}
{'step': 66000, 'sps': '30.3', 'episodes': 330, 'phi/obj': '-1.74e-08', 'sac/actor_loss': '-2.077', 'sac/alpha': '0.0002995', 'sac/q_loss': '7.602e-05', 'sac/reward_mean': '2.915e-05'}
{'step': 67000, 'sps': '30.3', 'episodes': 335, 'phi/obj': '-1.75e-08', 'sac/actor_loss': '-1.988', 'sac/alpha': '0.0002888', 'sac/q_loss': '9.713e-05', 'sac/reward_mean': '2.759e-05'}
{'step': 68000, 'sps': '30.3', 'episodes': 340, 'phi/obj': '-1.727e-08', 'sac/actor_loss': '-1.903', 'sac/alpha': '0.0002875', 'sac/q_loss': '8.924e-05', 'sac/reward_mean': '2.596e-05'}
{'step': 69000, 'sps': '30.2', 'episodes': 345, 'phi/obj': '-1.699e-08', 'sac/actor_loss': '-1.822', 'sac/alpha': '0.0002803', 'sac/q_loss': '9.321e-05', 'sac/reward_mean': '2.448e-05'}
{'step': 70000, 'sps': '30.2', 'episodes': 350, 'phi/obj': '-1.702e-08', 'sac/actor_loss': '-1.743', 'sac/alpha': '0.0002609', 'sac/q_loss': '8.952e-05', 'sac/reward_mean': '2.314e-05'}
{'step': 71000, 'sps': '30.2', 'episodes': 355, 'phi/obj': '-1.68e-08', 'sac/actor_loss': '-1.667', 'sac/alpha': '0.0002453', 'sac/q_loss': '8.587e-05', 'sac/reward_mean': '2.172e-05'}
{'step': 72000, 'sps': '30.2', 'episodes': 360, 'phi/obj': '-1.688e-08', 'sac/actor_loss': '-1.594', 'sac/alpha': '0.0002288', 'sac/q_loss': '5.868e-05', 'sac/reward_mean': '2.054e-05'}
{'step': 73000, 'sps': '30.2', 'episodes': 365, 'phi/obj': '-1.665e-08', 'sac/actor_loss': '-1.526', 'sac/alpha': '0.0002129', 'sac/q_loss': '8.213e-05', 'sac/reward_mean': '1.947e-05'}
{'step': 74000, 'sps': '30.2', 'episodes': 370, 'phi/obj': '-1.648e-08', 'sac/actor_loss': '-1.46', 'sac/alpha': '0.0001953', 'sac/q_loss': '4.953e-05', 'sac/reward_mean': '1.837e-05'}
{'step': 75000, 'sps': '30.1', 'episodes': 375, 'phi/obj': '-1.616e-08', 'sac/actor_loss': '-1.397', 'sac/alpha': '0.0001854', 'sac/q_loss': '6.538e-05', 'sac/reward_mean': '1.745e-05'}
{'step': 76000, 'sps': '30.1', 'episodes': 380, 'phi/obj': '-1.617e-08', 'sac/actor_loss': '-1.336', 'sac/alpha': '0.0001803', 'sac/q_loss': '4.258e-05', 'sac/reward_mean': '1.659e-05'}
{'step': 77000, 'sps': '30.1', 'episodes': 385, 'phi/obj': '-1.609e-08', 'sac/actor_loss': '-1.278', 'sac/alpha': '0.0001734', 'sac/q_loss': '5.005e-05', 'sac/reward_mean': '1.574e-05'}
{'step': 78000, 'sps': '30.1', 'episodes': 390, 'phi/obj': '-1.595e-08', 'sac/actor_loss': '-1.223', 'sac/alpha': '0.0001591', 'sac/q_loss': '2.972e-05', 'sac/reward_mean': '1.505e-05'}
{'step': 79000, 'sps': '30.1', 'episodes': 395, 'phi/obj': '-1.592e-08', 'sac/actor_loss': '-1.17', 'sac/alpha': '0.0001549', 'sac/q_loss': '4.233e-05', 'sac/reward_mean': '1.424e-05'}
{'step': 80000, 'sps': '30.1', 'episodes': 400, 'phi/obj': '-1.574e-08', 'sac/actor_loss': '-1.12', 'sac/alpha': '0.000157', 'sac/q_loss': '4.213e-05', 'sac/reward_mean': '1.346e-05'}
{'step': 81000, 'sps': '30.1', 'episodes': 405, 'phi/obj': '-1.574e-08', 'sac/actor_loss': '-1.072', 'sac/alpha': '0.0001481', 'sac/q_loss': '3.027e-05', 'sac/reward_mean': '1.271e-05'}
{'step': 82000, 'sps': '30.1', 'episodes': 410, 'phi/obj': '-1.565e-08', 'sac/actor_loss': '-1.025', 'sac/alpha': '0.0001416', 'sac/q_loss': '4.529e-05', 'sac/reward_mean': '1.208e-05'}
{'step': 83000, 'sps': '30', 'episodes': 415, 'phi/obj': '-1.556e-08', 'sac/actor_loss': '-0.9822', 'sac/alpha': '0.0001408', 'sac/q_loss': '3.045e-05', 'sac/reward_mean': '1.135e-05'}
{'step': 84000, 'sps': '30', 'episodes': 420, 'phi/obj': '-1.561e-08', 'sac/actor_loss': '-0.9399', 'sac/alpha': '0.0001333', 'sac/q_loss': '3.571e-05', 'sac/reward_mean': '1.073e-05'}
{'step': 85000, 'sps': '30', 'episodes': 425, 'phi/obj': '-1.539e-08', 'sac/actor_loss': '-0.9007', 'sac/alpha': '0.0001265', 'sac/q_loss': '2.341e-05', 'sac/reward_mean': '1.021e-05'}
{'step': 86000, 'sps': '30', 'episodes': 430, 'phi/obj': '-1.512e-08', 'sac/actor_loss': '-0.8631', 'sac/alpha': '0.0001212', 'sac/q_loss': '2.444e-05', 'sac/reward_mean': '9.688e-06'}
{'step': 87000, 'sps': '30', 'episodes': 435, 'phi/obj': '-1.514e-08', 'sac/actor_loss': '-0.8261', 'sac/alpha': '0.0001186', 'sac/q_loss': '2.015e-05', 'sac/reward_mean': '9.208e-06'}
{'step': 88000, 'sps': '30', 'episodes': 440, 'phi/obj': '-1.501e-08', 'sac/actor_loss': '-0.7931', 'sac/alpha': '0.0001138', 'sac/q_loss': '2.231e-05', 'sac/reward_mean': '8.77e-06'}
{'step': 89000, 'sps': '30', 'episodes': 445, 'phi/obj': '-1.491e-08', 'sac/actor_loss': '-0.7599', 'sac/alpha': '0.0001113', 'sac/q_loss': '3.301e-05', 'sac/reward_mean': '8.34e-06'}
{'step': 90000, 'sps': '30', 'episodes': 450, 'phi/obj': '-1.497e-08', 'sac/actor_loss': '-0.7282', 'sac/alpha': '0.0001079', 'sac/q_loss': '2.104e-05', 'sac/reward_mean': '7.961e-06'}
{'step': 91000, 'sps': '30', 'episodes': 455, 'phi/obj': '-1.479e-08', 'sac/actor_loss': '-0.6984', 'sac/alpha': '0.0001036', 'sac/q_loss': '1.653e-05', 'sac/reward_mean': '7.567e-06'}
{'step': 92000, 'sps': '29.9', 'episodes': 460, 'phi/obj': '-1.496e-08', 'sac/actor_loss': '-0.6703', 'sac/alpha': '0.0001029', 'sac/q_loss': '2.11e-05', 'sac/reward_mean': '7.211e-06'}
{'step': 93000, 'sps': '29.9', 'episodes': 465, 'phi/obj': '-1.465e-08', 'sac/actor_loss': '-0.6432', 'sac/alpha': '0.0001005', 'sac/q_loss': '1.581e-05', 'sac/reward_mean': '6.959e-06'}
{'step': 94000, 'sps': '29.9', 'episodes': 470, 'phi/obj': '-1.449e-08', 'sac/actor_loss': '-0.6181', 'sac/alpha': '0.0001002', 'sac/q_loss': '2.029e-05', 'sac/reward_mean': '6.65e-06'}
{'step': 95000, 'sps': '29.9', 'episodes': 475, 'phi/obj': '-1.429e-08', 'sac/actor_loss': '-0.5939', 'sac/alpha': '9.63e-05', 'sac/q_loss': '1.551e-05', 'sac/reward_mean': '6.338e-06'}
{'step': 96000, 'sps': '29.9', 'episodes': 480, 'phi/obj': '-1.43e-08', 'sac/actor_loss': '-0.5708', 'sac/alpha': '9.189e-05', 'sac/q_loss': '1.174e-05', 'sac/reward_mean': '6.078e-06'}
{'step': 97000, 'sps': '29.9', 'episodes': 485, 'phi/obj': '-1.419e-08', 'sac/actor_loss': '-0.5483', 'sac/alpha': '9.406e-05', 'sac/q_loss': '1.271e-05', 'sac/reward_mean': '5.836e-06'}
{'step': 98000, 'sps': '29.9', 'episodes': 490, 'phi/obj': '-1.419e-08', 'sac/actor_loss': '-0.5269', 'sac/alpha': '9.018e-05', 'sac/q_loss': '1.587e-05', 'sac/reward_mean': '5.61e-06'}
{'step': 99000, 'sps': '29.9', 'episodes': 495, 'phi/obj': '-1.406e-08', 'sac/actor_loss': '-0.506', 'sac/alpha': '9.433e-05', 'sac/q_loss': '1.048e-05', 'sac/reward_mean': '5.376e-06'}
{'step': 100000, 'sps': '29.9', 'episodes': 500, 'phi/obj': '-1.406e-08', 'sac/actor_loss': '-0.4849', 'sac/alpha': '8.722e-05', 'sac/q_loss': '1.143e-05', 'sac/reward_mean': '5.123e-06'}
{'step': 101000, 'sps': '29.9', 'episodes': 505, 'phi/obj': '-1.375e-08', 'sac/actor_loss': '-0.465', 'sac/alpha': '7.84e-05', 'sac/q_loss': '1.069e-05', 'sac/reward_mean': '4.905e-06'}
{'step': 102000, 'sps': '29.9', 'episodes': 510, 'phi/obj': '-1.392e-08', 'sac/actor_loss': '-0.4472', 'sac/alpha': '7.645e-05', 'sac/q_loss': '1.111e-05', 'sac/reward_mean': '4.728e-06'}
{'step': 103000, 'sps': '29.8', 'episodes': 515, 'phi/obj': '-1.375e-08', 'sac/actor_loss': '-0.4306', 'sac/alpha': '7.279e-05', 'sac/q_loss': '6.389e-06', 'sac/reward_mean': '4.525e-06'}
