run=abl_temporal_rt_d4_s2 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.6', 'episodes': 5}
{'step': 2000, 'sps': '77.4', 'episodes': 10}
{'step': 3000, 'sps': '77.7', 'episodes': 15}
{'step': 4000, 'sps': '77.6', 'episodes': 20}
{'step': 37000, 'sps': '37.6', 'episodes': 185, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5736', 'phi/lambda': '0.04095', 'phi/obj': '0.03932', 'phi/violation_rate': '0.1125', 'sac/actor_loss': '-1.139e+04', 'sac/alpha': '8.286', 'sac/q_loss': '3.044e+05', 'sac/reward_mean': '3.951'}
{'step': 38000, 'sps': '37.5', 'episodes': 190, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5798', 'phi/lambda': '0.05315', 'phi/obj': '0.0439', 'phi/violation_rate': '0.1127', 'sac/actor_loss': '-1.176e+04', 'sac/alpha': '8.067', 'sac/q_loss': '2.637e+05', 'sac/reward_mean': '4.407'}
{'step': 39000, 'sps': '37.4', 'episodes': 195, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5708', 'phi/lambda': '0.05926', 'phi/obj': '0.04857', 'phi/violation_rate': '0.1169', 'sac/actor_loss': '-1.211e+04', 'sac/alpha': '7.594', 'sac/q_loss': '2.356e+05', 'sac/reward_mean': '4.875'}
{'step': 40000, 'sps': '37.4', 'episodes': 200, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.579', 'phi/lambda': '0.06906', 'phi/obj': '0.05302', 'phi/violation_rate': '0.1158', 'sac/actor_loss': '-1.231e+04', 'sac/alpha': '6.911', 'sac/q_loss': '1.869e+05', 'sac/reward_mean': '5.318'}
{'step': 41000, 'sps': '37.3', 'episodes': 205, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5826', 'phi/lambda': '0.07306', 'phi/obj': '0.0551', 'phi/violation_rate': '0.1169', 'sac/actor_loss': '-1.257e+04', 'sac/alpha': '6.321', 'sac/q_loss': '1.557e+05', 'sac/reward_mean': '5.527'}
{'step': 42000, 'sps': '37.3', 'episodes': 210, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5882', 'phi/lambda': '0.06861', 'phi/obj': '0.05291', 'phi/violation_rate': '0.1183', 'sac/actor_loss': '-1.268e+04', 'sac/alpha': '5.665', 'sac/q_loss': '1.272e+05', 'sac/reward_mean': '5.308'}
{'step': 43000, 'sps': '37.2', 'episodes': 215, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5739', 'phi/lambda': '0.07014', 'phi/obj': '0.05455', 'phi/violation_rate': '0.1221', 'sac/actor_loss': '-1.282e+04', 'sac/alpha': '4.883', 'sac/q_loss': '9.943e+04', 'sac/reward_mean': '5.472'}
{'step': 44000, 'sps': '37.1', 'episodes': 220, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5859', 'phi/lambda': '0.07033', 'phi/obj': '0.05208', 'phi/violation_rate': '0.1199', 'sac/actor_loss': '-1.307e+04', 'sac/alpha': '5.061', 'sac/q_loss': '8.113e+04', 'sac/reward_mean': '5.226'}
{'step': 45000, 'sps': '37.1', 'episodes': 225, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5775', 'phi/lambda': '0.07104', 'phi/obj': '0.05345', 'phi/violation_rate': '0.1211', 'sac/actor_loss': '-1.324e+04', 'sac/alpha': '5.244', 'sac/q_loss': '7.166e+04', 'sac/reward_mean': '5.363'}
{'step': 46000, 'sps': '37', 'episodes': 230, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5717', 'phi/lambda': '0.07206', 'phi/obj': '0.05488', 'phi/violation_rate': '0.1206', 'sac/actor_loss': '-1.322e+04', 'sac/alpha': '4.996', 'sac/q_loss': '5.546e+04', 'sac/reward_mean': '5.506'}
