run=stage2_comp_s1 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.9', 'episodes': 3}
{'step': 2000, 'sps': '70.2', 'episodes': 6}
{'step': 3000, 'sps': '70.8', 'episodes': 10}
{'step': 4000, 'sps': '71.5', 'episodes': 13}
{'step': 33000, 'sps': '33.7', 'episodes': 110, 'metric/d_mean': '0.0009962', 'metric/d_nonzero': '0.2031', 'phi/constraint': '0.0001975', 'phi/lambda': '17.44', 'phi/obj': '0.0001405', 'phi/violation_rate': '0.07387', 'sac/actor_loss': '-10.4', 'sac/alpha': '0.003058', 'sac/q_loss': '1.013', 'sac/reward_mean': '0.01425'}
{'step': 34000, 'sps': '33.7', 'episodes': 113, 'metric/d_mean': '0.001089', 'metric/d_nonzero': '0.2237', 'phi/constraint': '0.0002027', 'phi/lambda': '11.79', 'phi/obj': '0.0001855', 'phi/violation_rate': '0.1087', 'sac/actor_loss': '-10.29', 'sac/alpha': '0.003858', 'sac/q_loss': '0.9404', 'sac/reward_mean': '0.0188'}
{'step': 35000, 'sps': '33.6', 'episodes': 116, 'metric/d_mean': '0.001287', 'metric/d_nonzero': '0.2339', 'phi/constraint': '0.0002504', 'phi/lambda': '7.894', 'phi/obj': '0.0002528', 'phi/violation_rate': '0.1412', 'sac/actor_loss': '-10.24', 'sac/alpha': '0.004563', 'sac/q_loss': '1.234', 'sac/reward_mean': '0.02561'}
{'step': 36000, 'sps': '33.6', 'episodes': 120, 'metric/d_mean': '0.001317', 'metric/d_nonzero': '0.2451', 'phi/constraint': '0.0002293', 'phi/lambda': '5.184', 'phi/obj': '0.0003837', 'phi/violation_rate': '0.1863', 'sac/actor_loss': '-10.28', 'sac/alpha': '0.005505', 'sac/q_loss': '1.054', 'sac/reward_mean': '0.03883'}
{'step': 37000, 'sps': '33.6', 'episodes': 123, 'metric/d_mean': '0.001397', 'metric/d_nonzero': '0.2569', 'phi/constraint': '0.0002127', 'phi/lambda': '3.794', 'phi/obj': '0.0006534', 'phi/violation_rate': '0.223', 'sac/actor_loss': '-10.47', 'sac/alpha': '0.006867', 'sac/q_loss': '1.39', 'sac/reward_mean': '0.06597'}
{'step': 38000, 'sps': '33.6', 'episodes': 126, 'metric/d_mean': '0.001562', 'metric/d_nonzero': '0.2656', 'phi/constraint': '0.0002481', 'phi/lambda': '3.012', 'phi/obj': '0.001058', 'phi/violation_rate': '0.2412', 'sac/actor_loss': '-10.91', 'sac/alpha': '0.00838', 'sac/q_loss': '1.911', 'sac/reward_mean': '0.1067'}
{'step': 39000, 'sps': '33.6', 'episodes': 130, 'metric/d_mean': '0.001578', 'metric/d_nonzero': '0.2787', 'phi/constraint': '0.0001812', 'phi/lambda': '3.189', 'phi/obj': '0.00133', 'phi/violation_rate': '0.2627', 'sac/actor_loss': '-11.46', 'sac/alpha': '0.0107', 'sac/q_loss': '2.244', 'sac/reward_mean': '0.134'}
{'step': 40000, 'sps': '33.6', 'episodes': 133, 'metric/d_mean': '0.001571', 'metric/d_nonzero': '0.2913', 'phi/constraint': '0.0001625', 'phi/lambda': '3.734', 'phi/obj': '0.001413', 'phi/violation_rate': '0.2788', 'sac/actor_loss': '-12.06', 'sac/alpha': '0.01305', 'sac/q_loss': '2.174', 'sac/reward_mean': '0.1422'}
{'step': 41000, 'sps': '33.6', 'episodes': 136, 'metric/d_mean': '0.00181', 'metric/d_nonzero': '0.3019', 'phi/constraint': '0.0003129', 'phi/lambda': '3.796', 'phi/obj': '0.001356', 'phi/violation_rate': '0.2883', 'sac/actor_loss': '-12.56', 'sac/alpha': '0.01575', 'sac/q_loss': '2.356', 'sac/reward_mean': '0.1368'}
{'step': 42000, 'sps': '33.6', 'episodes': 140, 'metric/d_mean': '0.001704', 'metric/d_nonzero': '0.3088', 'phi/constraint': '0.0001801', 'phi/lambda': '3.731', 'phi/obj': '0.001491', 'phi/violation_rate': '0.3006', 'sac/actor_loss': '-13.06', 'sac/alpha': '0.01873', 'sac/q_loss': '2.6', 'sac/reward_mean': '0.1503'}
