run=dads_soil_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '63.9', 'episodes': 5}
{'step': 2000, 'sps': '64.7', 'episodes': 10}
{'step': 3000, 'sps': '64.8', 'episodes': 15}
{'step': 4000, 'sps': '64.9', 'episodes': 20}
{'step': 5000, 'sps': '65', 'episodes': 25}
{'step': 94000, 'sps': '29.8', 'episodes': 470, 'phi/obj': '-9.691e-09', 'sac/actor_loss': '-0.5417', 'sac/alpha': '7.098e-05', 'sac/q_loss': '7.413e-06', 'sac/reward_mean': '7.91e-06'}
{'step': 95000, 'sps': '29.8', 'episodes': 475, 'phi/obj': '-9.844e-09', 'sac/actor_loss': '-0.5177', 'sac/alpha': '6.642e-05', 'sac/q_loss': '6.866e-06', 'sac/reward_mean': '7.511e-06'}
{'step': 96000, 'sps': '29.8', 'episodes': 480, 'phi/obj': '-9.808e-09', 'sac/actor_loss': '-0.4947', 'sac/alpha': '6.409e-05', 'sac/q_loss': '7.243e-06', 'sac/reward_mean': '7.173e-06'}
{'step': 97000, 'sps': '29.8', 'episodes': 485, 'phi/obj': '-9.974e-09', 'sac/actor_loss': '-0.4725', 'sac/alpha': '6.192e-05', 'sac/q_loss': '6.107e-06', 'sac/reward_mean': '6.895e-06'}
{'step': 98000, 'sps': '29.7', 'episodes': 490, 'phi/obj': '-1.008e-08', 'sac/actor_loss': '-0.4517', 'sac/alpha': '6.064e-05', 'sac/q_loss': '5.095e-06', 'sac/reward_mean': '6.582e-06'}
{'step': 99000, 'sps': '29.7', 'episodes': 495, 'phi/obj': '-9.969e-09', 'sac/actor_loss': '-0.4321', 'sac/alpha': '5.953e-05', 'sac/q_loss': '5.251e-06', 'sac/reward_mean': '6.237e-06'}
{'step': 100000, 'sps': '29.7', 'episodes': 500, 'phi/obj': '-1.001e-08', 'sac/actor_loss': '-0.4129', 'sac/alpha': '5.816e-05', 'sac/q_loss': '4.439e-06', 'sac/reward_mean': '5.964e-06'}
{'step': 101000, 'sps': '29.7', 'episodes': 505, 'phi/obj': '-1.006e-08', 'sac/actor_loss': '-0.3949', 'sac/alpha': '5.571e-05', 'sac/q_loss': '4.261e-06', 'sac/reward_mean': '5.688e-06'}
{'step': 102000, 'sps': '29.7', 'episodes': 510, 'phi/obj': '-1.019e-08', 'sac/actor_loss': '-0.3775', 'sac/alpha': '5.428e-05', 'sac/q_loss': '3.728e-06', 'sac/reward_mean': '5.467e-06'}
{'step': 103000, 'sps': '29.7', 'episodes': 515, 'phi/obj': '-1.02e-08', 'sac/actor_loss': '-0.361', 'sac/alpha': '5.137e-05', 'sac/q_loss': '3.058e-06', 'sac/reward_mean': '5.238e-06'}
{'step': 104000, 'sps': '29.7', 'episodes': 520, 'phi/obj': '-1.005e-08', 'sac/actor_loss': '-0.3457', 'sac/alpha': '4.837e-05', 'sac/q_loss': '2.741e-06', 'sac/reward_mean': '5.05e-06'}
{'step': 105000, 'sps': '29.7', 'episodes': 525, 'phi/obj': '-1.007e-08', 'sac/actor_loss': '-0.3308', 'sac/alpha': '4.664e-05', 'sac/q_loss': '2.897e-06', 'sac/reward_mean': '4.84e-06'}
{'step': 106000, 'sps': '29.7', 'episodes': 530, 'phi/obj': '-1.017e-08', 'sac/actor_loss': '-0.3167', 'sac/alpha': '4.42e-05', 'sac/q_loss': '2.838e-06', 'sac/reward_mean': '4.636e-06'}
{'step': 107000, 'sps': '29.7', 'episodes': 535, 'phi/obj': '-1.008e-08', 'sac/actor_loss': '-0.3035', 'sac/alpha': '4.134e-05', 'sac/q_loss': '2.264e-06', 'sac/reward_mean': '4.423e-06'}
{'step': 108000, 'sps': '29.7', 'episodes': 540, 'phi/obj': '-1.005e-08', 'sac/actor_loss': '-0.2909', 'sac/alpha': '3.884e-05', 'sac/q_loss': '2.153e-06', 'sac/reward_mean': '4.217e-06'}
{'step': 109000, 'sps': '29.7', 'episodes': 545, 'phi/obj': '-1.004e-08', 'sac/actor_loss': '-0.2784', 'sac/alpha': '3.753e-05', 'sac/q_loss': '2.12e-06', 'sac/reward_mean': '4.015e-06'}
{'step': 110000, 'sps': '29.7', 'episodes': 550, 'phi/obj': '-1.019e-08', 'sac/actor_loss': '-0.2668', 'sac/alpha': '3.616e-05', 'sac/q_loss': '2.18e-06', 'sac/reward_mean': '3.877e-06'}
{'step': 111000, 'sps': '29.7', 'episodes': 555, 'phi/obj': '-1.019e-08', 'sac/actor_loss': '-0.2556', 'sac/alpha': '3.552e-05', 'sac/q_loss': '1.866e-06', 'sac/reward_mean': '3.718e-06'}
{'step': 112000, 'sps': '29.6', 'episodes': 560, 'phi/obj': '-1.019e-08', 'sac/actor_loss': '-0.245', 'sac/alpha': '3.314e-05', 'sac/q_loss': '1.66e-06', 'sac/reward_mean': '3.56e-06'}
{'step': 113000, 'sps': '29.6', 'episodes': 565, 'phi/obj': '-1.028e-08', 'sac/actor_loss': '-0.2345', 'sac/alpha': '3.135e-05', 'sac/q_loss': '1.612e-06', 'sac/reward_mean': '3.413e-06'}
{'step': 114000, 'sps': '29.6', 'episodes': 570, 'phi/obj': '-1.029e-08', 'sac/actor_loss': '-0.2248', 'sac/alpha': '3.024e-05', 'sac/q_loss': '1.594e-06', 'sac/reward_mean': '3.27e-06'}
{'step': 115000, 'sps': '29.6', 'episodes': 575, 'phi/obj': '-1.025e-08', 'sac/actor_loss': '-0.2155', 'sac/alpha': '2.937e-05', 'sac/q_loss': '1.21e-06', 'sac/reward_mean': '3.157e-06'}
{'step': 116000, 'sps': '29.6', 'episodes': 580, 'phi/obj': '-1.025e-08', 'sac/actor_loss': '-0.2066', 'sac/alpha': '2.74e-05', 'sac/q_loss': '1.386e-06', 'sac/reward_mean': '3.037e-06'}
{'step': 117000, 'sps': '29.6', 'episodes': 585, 'phi/obj': '-1.013e-08', 'sac/actor_loss': '-0.1982', 'sac/alpha': '2.59e-05', 'sac/q_loss': '1.238e-06', 'sac/reward_mean': '2.917e-06'}
{'step': 118000, 'sps': '29.6', 'episodes': 590, 'phi/obj': '-1.021e-08', 'sac/actor_loss': '-0.1901', 'sac/alpha': '2.438e-05', 'sac/q_loss': '1.101e-06', 'sac/reward_mean': '2.8e-06'}
{'step': 119000, 'sps': '29.6', 'episodes': 595, 'phi/obj': '-1.008e-08', 'sac/actor_loss': '-0.1824', 'sac/alpha': '2.284e-05', 'sac/q_loss': '1.122e-06', 'sac/reward_mean': '2.697e-06'}
{'step': 120000, 'sps': '29.6', 'episodes': 600, 'phi/obj': '-1.009e-08', 'sac/actor_loss': '-0.175', 'sac/alpha': '2.082e-05', 'sac/q_loss': '8.408e-07', 'sac/reward_mean': '2.591e-06'}
