run=tmsd_sw2_2d_s0 metric=sliced_w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '66.6', 'episodes': 5}
{'step': 2000, 'sps': '67.7', 'episodes': 10}
{'step': 3000, 'sps': '68.1', 'episodes': 15}
{'step': 4000, 'sps': '68.2', 'episodes': 20}
{'step': 36000, 'sps': '24.5', 'episodes': 180, 'metric/d_mean': '0.001096', 'metric/d_nonzero': '0.2572', 'phi/constraint': '7.965e-07', 'phi/lambda': '19.26', 'phi/obj': '0.0001396', 'phi/violation_rate': '0.05603', 'sac/actor_loss': '-9.708', 'sac/alpha': '0.001682', 'sac/q_loss': '0.03135', 'sac/reward_mean': '0.0141'}
{'step': 37000, 'sps': '24.5', 'episodes': 185, 'metric/d_mean': '0.001088', 'metric/d_nonzero': '0.2564', 'phi/constraint': '8.458e-07', 'phi/lambda': '19.38', 'phi/obj': '0.0001342', 'phi/violation_rate': '0.05581', 'sac/actor_loss': '-9.349', 'sac/alpha': '0.001679', 'sac/q_loss': '0.03052', 'sac/reward_mean': '0.01355'}
{'step': 38000, 'sps': '24.4', 'episodes': 190, 'metric/d_mean': '0.001089', 'metric/d_nonzero': '0.2564', 'phi/constraint': '8.729e-07', 'phi/lambda': '19.14', 'phi/obj': '0.0001324', 'phi/violation_rate': '0.05689', 'sac/actor_loss': '-9.006', 'sac/alpha': '0.001612', 'sac/q_loss': '0.0303', 'sac/reward_mean': '0.01338'}
{'step': 39000, 'sps': '24.3', 'episodes': 195, 'metric/d_mean': '0.001093', 'metric/d_nonzero': '0.2563', 'phi/constraint': '9.356e-07', 'phi/lambda': '18.65', 'phi/obj': '0.0001267', 'phi/violation_rate': '0.0557', 'sac/actor_loss': '-8.683', 'sac/alpha': '0.001498', 'sac/q_loss': '0.03024', 'sac/reward_mean': '0.0128'}
{'step': 40000, 'sps': '24.3', 'episodes': 200, 'metric/d_mean': '0.001089', 'metric/d_nonzero': '0.2565', 'phi/constraint': '8.211e-07', 'phi/lambda': '18.81', 'phi/obj': '0.0001335', 'phi/violation_rate': '0.05865', 'sac/actor_loss': '-8.39', 'sac/alpha': '0.001486', 'sac/q_loss': '0.03027', 'sac/reward_mean': '0.01348'}
{'step': 41000, 'sps': '24.2', 'episodes': 205, 'metric/d_mean': '0.001086', 'metric/d_nonzero': '0.2548', 'phi/constraint': '8.981e-07', 'phi/lambda': '18.54', 'phi/obj': '0.0001281', 'phi/violation_rate': '0.05429', 'sac/actor_loss': '-8.107', 'sac/alpha': '0.001462', 'sac/q_loss': '0.0307', 'sac/reward_mean': '0.01294'}
{'step': 42000, 'sps': '24.2', 'episodes': 210, 'metric/d_mean': '0.001087', 'metric/d_nonzero': '0.2555', 'phi/constraint': '9.247e-07', 'phi/lambda': '18.66', 'phi/obj': '0.0001271', 'phi/violation_rate': '0.05312', 'sac/actor_loss': '-7.823', 'sac/alpha': '0.001521', 'sac/q_loss': '0.0299', 'sac/reward_mean': '0.01284'}
{'step': 43000, 'sps': '24.1', 'episodes': 215, 'metric/d_mean': '0.001086', 'metric/d_nonzero': '0.2551', 'phi/constraint': '8.568e-07', 'phi/lambda': '17.55', 'phi/obj': '0.0001231', 'phi/violation_rate': '0.0558', 'sac/actor_loss': '-7.559', 'sac/alpha': '0.001498', 'sac/q_loss': '0.03063', 'sac/reward_mean': '0.01244'}
{'step': 44000, 'sps': '24.1', 'episodes': 220, 'metric/d_mean': '0.001089', 'metric/d_nonzero': '0.2553', 'phi/constraint': '8.313e-07', 'phi/lambda': '18.06', 'phi/obj': '0.0001311', 'phi/violation_rate': '0.05573', 'sac/actor_loss': '-7.312', 'sac/alpha': '0.00154', 'sac/q_loss': '0.03127', 'sac/reward_mean': '0.01324'}
{'step': 45000, 'sps': '24', 'episodes': 225, 'metric/d_mean': '0.001079', 'metric/d_nonzero': '0.2548', 'phi/constraint': '8.851e-07', 'phi/lambda': '18.21', 'phi/obj': '0.0001239', 'phi/violation_rate': '0.05236', 'sac/actor_loss': '-7.093', 'sac/alpha': '0.001629', 'sac/q_loss': '0.03007', 'sac/reward_mean': '0.01252'}
