run=abl_euclid_2d_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '68', 'episodes': 5}
{'step': 2000, 'sps': '68.9', 'episodes': 10}
{'step': 3000, 'sps': '69.3', 'episodes': 15}
{'step': 4000, 'sps': '69.5', 'episodes': 20}
{'step': 31000, 'sps': '26.3', 'episodes': 155, 'metric/d_mean': '0.0003924', 'metric/d_nonzero': '0.2618', 'phi/constraint': '8.536e-08', 'phi/lambda': '54.86', 'phi/obj': '5.838e-05', 'phi/violation_rate': '0.07057', 'sac/actor_loss': '-10.78', 'sac/alpha': '0.0007492', 'sac/q_loss': '0.004998', 'sac/reward_mean': '0.005904'}
{'step': 32000, 'sps': '26.2', 'episodes': 160, 'metric/d_mean': '0.0003902', 'metric/d_nonzero': '0.2616', 'phi/constraint': '1.039e-07', 'phi/lambda': '50.66', 'phi/obj': '5.43e-05', 'phi/violation_rate': '0.06871', 'sac/actor_loss': '-10.29', 'sac/alpha': '0.0006392', 'sac/q_loss': '0.004586', 'sac/reward_mean': '0.005496'}
{'step': 33000, 'sps': '26.1', 'episodes': 165, 'metric/d_mean': '0.0003893', 'metric/d_nonzero': '0.2598', 'phi/constraint': '7.443e-08', 'phi/lambda': '50.45', 'phi/obj': '5.477e-05', 'phi/violation_rate': '0.07585', 'sac/actor_loss': '-9.818', 'sac/alpha': '0.0005757', 'sac/q_loss': '0.004797', 'sac/reward_mean': '0.005541'}
{'step': 34000, 'sps': '26', 'episodes': 170, 'metric/d_mean': '0.0003878', 'metric/d_nonzero': '0.2592', 'phi/constraint': '8.805e-08', 'phi/lambda': '53.35', 'phi/obj': '5.381e-05', 'phi/violation_rate': '0.06827', 'sac/actor_loss': '-9.375', 'sac/alpha': '0.0005558', 'sac/q_loss': '0.004687', 'sac/reward_mean': '0.005441'}
{'step': 35000, 'sps': '25.9', 'episodes': 175, 'metric/d_mean': '0.0003855', 'metric/d_nonzero': '0.2574', 'phi/constraint': '8.125e-08', 'phi/lambda': '51.77', 'phi/obj': '5.456e-05', 'phi/violation_rate': '0.06489', 'sac/actor_loss': '-8.959', 'sac/alpha': '0.0006613', 'sac/q_loss': '0.004792', 'sac/reward_mean': '0.005516'}
{'step': 36000, 'sps': '25.8', 'episodes': 180, 'metric/d_mean': '0.0003875', 'metric/d_nonzero': '0.2577', 'phi/constraint': '9.51e-08', 'phi/lambda': '51.67', 'phi/obj': '5.286e-05', 'phi/violation_rate': '0.06222', 'sac/actor_loss': '-8.572', 'sac/alpha': '0.0007373', 'sac/q_loss': '0.004664', 'sac/reward_mean': '0.005346'}
{'step': 37000, 'sps': '25.8', 'episodes': 185, 'metric/d_mean': '0.0003856', 'metric/d_nonzero': '0.2576', 'phi/constraint': '7.761e-08', 'phi/lambda': '49.47', 'phi/obj': '5.169e-05', 'phi/violation_rate': '0.07316', 'sac/actor_loss': '-8.195', 'sac/alpha': '0.0008291', 'sac/q_loss': '0.004674', 'sac/reward_mean': '0.005228'}
{'step': 38000, 'sps': '25.7', 'episodes': 190, 'metric/d_mean': '0.0003843', 'metric/d_nonzero': '0.2565', 'phi/constraint': '8.976e-08', 'phi/lambda': '49.24', 'phi/obj': '5.012e-05', 'phi/violation_rate': '0.07207', 'sac/actor_loss': '-7.839', 'sac/alpha': '0.0008285', 'sac/q_loss': '0.004617', 'sac/reward_mean': '0.005071'}
{'step': 39000, 'sps': '25.6', 'episodes': 195, 'metric/d_mean': '0.0003872', 'metric/d_nonzero': '0.2568', 'phi/constraint': '9.895e-08', 'phi/lambda': '46.25', 'phi/obj': '4.812e-05', 'phi/violation_rate': '0.07082', 'sac/actor_loss': '-7.5', 'sac/alpha': '0.0008328', 'sac/q_loss': '0.004618', 'sac/reward_mean': '0.004872'}
{'step': 40000, 'sps': '25.6', 'episodes': 200, 'metric/d_mean': '0.0003842', 'metric/d_nonzero': '0.2563', 'phi/constraint': '7.699e-08', 'phi/lambda': '47.8', 'phi/obj': '5.134e-05', 'phi/violation_rate': '0.07452', 'sac/actor_loss': '-7.182', 'sac/alpha': '0.0008332', 'sac/q_loss': '0.004649', 'sac/reward_mean': '0.005193'}
{'step': 41000, 'sps': '25.5', 'episodes': 205, 'metric/d_mean': '0.0003841', 'metric/d_nonzero': '0.2553', 'phi/constraint': '8.547e-08', 'phi/lambda': '47.87', 'phi/obj': '5.016e-05', 'phi/violation_rate': '0.0685', 'sac/actor_loss': '-6.88', 'sac/alpha': '0.0008023', 'sac/q_loss': '0.004713', 'sac/reward_mean': '0.005075'}
{'step': 42000, 'sps': '25.5', 'episodes': 210, 'metric/d_mean': '0.000384', 'metric/d_nonzero': '0.2559', 'phi/constraint': '9.522e-08', 'phi/lambda': '47.82', 'phi/obj': '4.8e-05', 'phi/violation_rate': '0.06819', 'sac/actor_loss': '-6.586', 'sac/alpha': '0.0007814', 'sac/q_loss': '0.004512', 'sac/reward_mean': '0.004857'}
{'step': 43000, 'sps': '25.4', 'episodes': 215, 'metric/d_mean': '0.0003856', 'metric/d_nonzero': '0.256', 'phi/constraint': '8.484e-08', 'phi/lambda': '44.23', 'phi/obj': '4.707e-05', 'phi/violation_rate': '0.07202', 'sac/actor_loss': '-6.307', 'sac/alpha': '0.0007623', 'sac/q_loss': '0.004675', 'sac/reward_mean': '0.004766'}
{'step': 44000, 'sps': '25.4', 'episodes': 220, 'metric/d_mean': '0.0003846', 'metric/d_nonzero': '0.2545', 'phi/constraint': '7.507e-08', 'phi/lambda': '46.85', 'phi/obj': '5.004e-05', 'phi/violation_rate': '0.07239', 'sac/actor_loss': '-6.045', 'sac/alpha': '0.0007925', 'sac/q_loss': '0.00476', 'sac/reward_mean': '0.005062'}
{'step': 45000, 'sps': '25.3', 'episodes': 225, 'metric/d_mean': '0.0003812', 'metric/d_nonzero': '0.2548', 'phi/constraint': '9.432e-08', 'phi/lambda': '46.52', 'phi/obj': '4.619e-05', 'phi/violation_rate': '0.06452', 'sac/actor_loss': '-5.802', 'sac/alpha': '0.0008568', 'sac/q_loss': '0.004523', 'sac/reward_mean': '0.004674'}
{'step': 46000, 'sps': '25.3', 'episodes': 230, 'metric/d_mean': '0.0003831', 'metric/d_nonzero': '0.2543', 'phi/constraint': '8.249e-08', 'phi/lambda': '47.26', 'phi/obj': '4.912e-05', 'phi/violation_rate': '0.06966', 'sac/actor_loss': '-5.564', 'sac/alpha': '0.0008344', 'sac/q_loss': '0.004611', 'sac/reward_mean': '0.004968'}
{'step': 47000, 'sps': '25.2', 'episodes': 235, 'metric/d_mean': '0.0003814', 'metric/d_nonzero': '0.2539', 'phi/constraint': '8.992e-08', 'phi/lambda': '45.22', 'phi/obj': '4.73e-05', 'phi/violation_rate': '0.06602', 'sac/actor_loss': '-5.342', 'sac/alpha': '0.0007653', 'sac/q_loss': '0.004482', 'sac/reward_mean': '0.004785'}
{'step': 48000, 'sps': '25.2', 'episodes': 240, 'metric/d_mean': '0.0003862', 'metric/d_nonzero': '0.2558', 'phi/constraint': '8.795e-08', 'phi/lambda': '44.96', 'phi/obj': '4.769e-05', 'phi/violation_rate': '0.06625', 'sac/actor_loss': '-5.128', 'sac/alpha': '0.0007015', 'sac/q_loss': '0.004684', 'sac/reward_mean': '0.004826'}
{'step': 49000, 'sps': '25.2', 'episodes': 245, 'metric/d_mean': '0.0003837', 'metric/d_nonzero': '0.255', 'phi/constraint': '9.11e-08', 'phi/lambda': '44.85', 'phi/obj': '4.509e-05', 'phi/violation_rate': '0.06251', 'sac/actor_loss': '-4.92', 'sac/alpha': '0.0007144', 'sac/q_loss': '0.004436', 'sac/reward_mean': '0.004564'}
{'step': 50000, 'sps': '25.1', 'episodes': 250, 'metric/d_mean': '0.0003773', 'metric/d_nonzero': '0.252', 'phi/constraint': '8.884e-08', 'phi/lambda': '44.36', 'phi/obj': '4.443e-05', 'phi/violation_rate': '0.06445', 'sac/actor_loss': '-4.722', 'sac/alpha': '0.0007225', 'sac/q_loss': '0.004411', 'sac/reward_mean': '0.004497'}
{'step': 51000, 'sps': '25.1', 'episodes': 255, 'metric/d_mean': '0.0003817', 'metric/d_nonzero': '0.253', 'phi/constraint': '9.427e-08', 'phi/lambda': '44.14', 'phi/obj': '4.437e-05', 'phi/violation_rate': '0.0629', 'sac/actor_loss': '-4.536', 'sac/alpha': '0.0006895', 'sac/q_loss': '0.004355', 'sac/reward_mean': '0.004491'}
{'step': 52000, 'sps': '25', 'episodes': 260, 'metric/d_mean': '0.0003804', 'metric/d_nonzero': '0.2529', 'phi/constraint': '9.433e-08', 'phi/lambda': '43.9', 'phi/obj': '4.4e-05', 'phi/violation_rate': '0.06232', 'sac/actor_loss': '-4.358', 'sac/alpha': '0.0006528', 'sac/q_loss': '0.004292', 'sac/reward_mean': '0.004453'}
{'step': 53000, 'sps': '25', 'episodes': 265, 'metric/d_mean': '0.0003844', 'metric/d_nonzero': '0.2547', 'phi/constraint': '9.454e-08', 'phi/lambda': '42.33', 'phi/obj': '4.383e-05', 'phi/violation_rate': '0.06597', 'sac/actor_loss': '-4.187', 'sac/alpha': '0.0006321', 'sac/q_loss': '0.004347', 'sac/reward_mean': '0.004437'}
{'step': 54000, 'sps': '25', 'episodes': 270, 'metric/d_mean': '0.000382', 'metric/d_nonzero': '0.2541', 'phi/constraint': '9.721e-08', 'phi/lambda': '43.78', 'phi/obj': '4.298e-05', 'phi/violation_rate': '0.06619', 'sac/actor_loss': '-4.026', 'sac/alpha': '0.0006045', 'sac/q_loss': '0.004365', 'sac/reward_mean': '0.00435'}
{'step': 55000, 'sps': '25', 'episodes': 275, 'metric/d_mean': '0.000384', 'metric/d_nonzero': '0.2543', 'phi/constraint': '9.809e-08', 'phi/lambda': '42.63', 'phi/obj': '4.314e-05', 'phi/violation_rate': '0.05952', 'sac/actor_loss': '-3.873', 'sac/alpha': '0.0005647', 'sac/q_loss': '0.004347', 'sac/reward_mean': '0.004367'}
