run=mi_full_s0 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.5', 'episodes': 5}
{'step': 2000, 'sps': '69.1', 'episodes': 10}
{'step': 3000, 'sps': '67.2', 'episodes': 15}
{'step': 4000, 'sps': '66.2', 'episodes': 20}
{'step': 90000, 'sps': '31.1', 'episodes': 450, 'phi/obj': '0.9871', 'sac/actor_loss': '-98.3', 'sac/alpha': '0.002463', 'sac/q_loss': '0.03199', 'sac/reward_mean': '0.9887'}
{'step': 91000, 'sps': '31.1', 'episodes': 455, 'phi/obj': '0.9854', 'sac/actor_loss': '-98.3', 'sac/alpha': '0.00244', 'sac/q_loss': '0.03167', 'sac/reward_mean': '0.9872'}
{'step': 92000, 'sps': '31.1', 'episodes': 460, 'phi/obj': '0.9857', 'sac/actor_loss': '-98.3', 'sac/alpha': '0.002432', 'sac/q_loss': '0.03424', 'sac/reward_mean': '0.9875'}
{'step': 93000, 'sps': '31.1', 'episodes': 465, 'phi/obj': '0.9867', 'sac/actor_loss': '-98.32', 'sac/alpha': '0.002361', 'sac/q_loss': '0.0273', 'sac/reward_mean': '0.9884'}
{'step': 94000, 'sps': '31.1', 'episodes': 470, 'phi/obj': '0.9863', 'sac/actor_loss': '-98.33', 'sac/alpha': '0.002358', 'sac/q_loss': '0.02903', 'sac/reward_mean': '0.988'}
{'step': 95000, 'sps': '31.1', 'episodes': 475, 'phi/obj': '0.9856', 'sac/actor_loss': '-98.35', 'sac/alpha': '0.002344', 'sac/q_loss': '0.03208', 'sac/reward_mean': '0.9874'}
{'step': 96000, 'sps': '31.1', 'episodes': 480, 'phi/obj': '0.9867', 'sac/actor_loss': '-98.36', 'sac/alpha': '0.002258', 'sac/q_loss': '0.03193', 'sac/reward_mean': '0.9884'}
{'step': 97000, 'sps': '31.1', 'episodes': 485, 'phi/obj': '0.9867', 'sac/actor_loss': '-98.38', 'sac/alpha': '0.002233', 'sac/q_loss': '0.02697', 'sac/reward_mean': '0.9884'}
{'step': 98000, 'sps': '31.1', 'episodes': 490, 'phi/obj': '0.9872', 'sac/actor_loss': '-98.41', 'sac/alpha': '0.002257', 'sac/q_loss': '0.02973', 'sac/reward_mean': '0.9888'}
{'step': 99000, 'sps': '31.1', 'episodes': 495, 'phi/obj': '0.9862', 'sac/actor_loss': '-98.42', 'sac/alpha': '0.002276', 'sac/q_loss': '0.02907', 'sac/reward_mean': '0.9879'}
{'step': 100000, 'sps': '31.1', 'episodes': 500, 'phi/obj': '0.9859', 'sac/actor_loss': '-98.44', 'sac/alpha': '0.002264', 'sac/q_loss': '0.02603', 'sac/reward_mean': '0.9876'}
