run=abl_euclid_rt_d4_s1 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.9', 'episodes': 5}
{'step': 2000, 'sps': '68.1', 'episodes': 10}
{'step': 3000, 'sps': '68.3', 'episodes': 15}
{'step': 4000, 'sps': '68.2', 'episodes': 20}
{'step': 35000, 'sps': '26.3', 'episodes': 175, 'metric/d_mean': '0.0005263', 'metric/d_nonzero': '0.2746', 'phi/constraint': '2.209e-07', 'phi/lambda': '54.64', 'phi/obj': '8.717e-05', 'phi/violation_rate': '0.04945', 'sac/actor_loss': '-9.54', 'sac/alpha': '0.001955', 'sac/q_loss': '0.00796', 'sac/reward_mean': '0.008789'}
{'step': 36000, 'sps': '26.3', 'episodes': 180, 'metric/d_mean': '0.0005737', 'metric/d_nonzero': '0.2857', 'phi/constraint': '2.997e-07', 'phi/lambda': '51.15', 'phi/obj': '9.011e-05', 'phi/violation_rate': '0.04629', 'sac/actor_loss': '-9.251', 'sac/alpha': '0.001944', 'sac/q_loss': '0.008296', 'sac/reward_mean': '0.009088'}
{'step': 37000, 'sps': '26.3', 'episodes': 185, 'metric/d_mean': '0.0006104', 'metric/d_nonzero': '0.2995', 'phi/constraint': '2.931e-07', 'phi/lambda': '44.52', 'phi/obj': '8.799e-05', 'phi/violation_rate': '0.05632', 'sac/actor_loss': '-8.971', 'sac/alpha': '0.002131', 'sac/q_loss': '0.009087', 'sac/reward_mean': '0.008881'}
{'step': 38000, 'sps': '26.3', 'episodes': 190, 'metric/d_mean': '0.0006365', 'metric/d_nonzero': '0.3072', 'phi/constraint': '2.663e-07', 'phi/lambda': '42.7', 'phi/obj': '9.34e-05', 'phi/violation_rate': '0.06715', 'sac/actor_loss': '-8.697', 'sac/alpha': '0.002458', 'sac/q_loss': '0.01004', 'sac/reward_mean': '0.009427'}
{'step': 39000, 'sps': '26.4', 'episodes': 195, 'metric/d_mean': '0.0006622', 'metric/d_nonzero': '0.3147', 'phi/constraint': '3.194e-07', 'phi/lambda': '40.43', 'phi/obj': '9.033e-05', 'phi/violation_rate': '0.0674', 'sac/actor_loss': '-8.422', 'sac/alpha': '0.00279', 'sac/q_loss': '0.01078', 'sac/reward_mean': '0.009126'}
{'step': 40000, 'sps': '26.4', 'episodes': 200, 'metric/d_mean': '0.0006833', 'metric/d_nonzero': '0.3218', 'phi/constraint': '2.835e-07', 'phi/lambda': '40.11', 'phi/obj': '9.598e-05', 'phi/violation_rate': '0.07487', 'sac/actor_loss': '-8.179', 'sac/alpha': '0.002891', 'sac/q_loss': '0.01216', 'sac/reward_mean': '0.009692'}
{'step': 41000, 'sps': '26.4', 'episodes': 205, 'metric/d_mean': '0.0007061', 'metric/d_nonzero': '0.331', 'phi/constraint': '3.136e-07', 'phi/lambda': '44.9', 'phi/obj': '0.0001079', 'phi/violation_rate': '0.07276', 'sac/actor_loss': '-7.989', 'sac/alpha': '0.003041', 'sac/q_loss': '0.01308', 'sac/reward_mean': '0.01089'}
{'step': 42000, 'sps': '26.5', 'episodes': 210, 'metric/d_mean': '0.0007217', 'metric/d_nonzero': '0.3386', 'phi/constraint': '3.488e-07', 'phi/lambda': '43.99', 'phi/obj': '0.000106', 'phi/violation_rate': '0.0709', 'sac/actor_loss': '-7.756', 'sac/alpha': '0.003168', 'sac/q_loss': '0.01424', 'sac/reward_mean': '0.01069'}
{'step': 43000, 'sps': '26.5', 'episodes': 215, 'metric/d_mean': '0.0007303', 'metric/d_nonzero': '0.342', 'phi/constraint': '3.526e-07', 'phi/lambda': '44.6', 'phi/obj': '0.0001087', 'phi/violation_rate': '0.07036', 'sac/actor_loss': '-7.536', 'sac/alpha': '0.003299', 'sac/q_loss': '0.01427', 'sac/reward_mean': '0.01096'}
{'step': 44000, 'sps': '26.5', 'episodes': 220, 'metric/d_mean': '0.0007321', 'metric/d_nonzero': '0.3444', 'phi/constraint': '3.302e-07', 'phi/lambda': '46.25', 'phi/obj': '0.0001125', 'phi/violation_rate': '0.06834', 'sac/actor_loss': '-7.318', 'sac/alpha': '0.003413', 'sac/q_loss': '0.01522', 'sac/reward_mean': '0.01135'}
{'step': 45000, 'sps': '26.5', 'episodes': 225, 'metric/d_mean': '0.0007535', 'metric/d_nonzero': '0.3517', 'phi/constraint': '3.802e-07', 'phi/lambda': '49.3', 'phi/obj': '0.0001211', 'phi/violation_rate': '0.06583', 'sac/actor_loss': '-7.154', 'sac/alpha': '0.003531', 'sac/q_loss': '0.01597', 'sac/reward_mean': '0.0122'}
{'step': 46000, 'sps': '26.6', 'episodes': 230, 'metric/d_mean': '0.0007644', 'metric/d_nonzero': '0.3565', 'phi/constraint': '3.754e-07', 'phi/lambda': '49.95', 'phi/obj': '0.0001259', 'phi/violation_rate': '0.06631', 'sac/actor_loss': '-6.992', 'sac/alpha': '0.003617', 'sac/q_loss': '0.01546', 'sac/reward_mean': '0.01268'}
{'step': 47000, 'sps': '26.6', 'episodes': 235, 'metric/d_mean': '0.0007658', 'metric/d_nonzero': '0.3563', 'phi/constraint': '3.974e-07', 'phi/lambda': '50.81', 'phi/obj': '0.000126', 'phi/violation_rate': '0.06363', 'sac/actor_loss': '-6.817', 'sac/alpha': '0.003639', 'sac/q_loss': '0.01594', 'sac/reward_mean': '0.01269'}
{'step': 48000, 'sps': '26.6', 'episodes': 240, 'metric/d_mean': '0.0007777', 'metric/d_nonzero': '0.3602', 'phi/constraint': '3.873e-07', 'phi/lambda': '51.12', 'phi/obj': '0.0001321', 'phi/violation_rate': '0.0659', 'sac/actor_loss': '-6.671', 'sac/alpha': '0.003656', 'sac/q_loss': '0.01659', 'sac/reward_mean': '0.01331'}
{'step': 49000, 'sps': '26.6', 'episodes': 245, 'metric/d_mean': '0.0007761', 'metric/d_nonzero': '0.3608', 'phi/constraint': '3.955e-07', 'phi/lambda': '51.97', 'phi/obj': '0.0001312', 'phi/violation_rate': '0.06398', 'sac/actor_loss': '-6.486', 'sac/alpha': '0.003575', 'sac/q_loss': '0.01697', 'sac/reward_mean': '0.01322'}
{'step': 50000, 'sps': '26.6', 'episodes': 250, 'metric/d_mean': '0.000782', 'metric/d_nonzero': '0.364', 'phi/constraint': '4.028e-07', 'phi/lambda': '52.74', 'phi/obj': '0.0001334', 'phi/violation_rate': '0.06257', 'sac/actor_loss': '-6.356', 'sac/alpha': '0.003425', 'sac/q_loss': '0.01764', 'sac/reward_mean': '0.01343'}
{'step': 51000, 'sps': '26.7', 'episodes': 255, 'metric/d_mean': '0.0007917', 'metric/d_nonzero': '0.3681', 'phi/constraint': '4.088e-07', 'phi/lambda': '54.17', 'phi/obj': '0.0001394', 'phi/violation_rate': '0.0642', 'sac/actor_loss': '-6.22', 'sac/alpha': '0.003349', 'sac/q_loss': '0.01793', 'sac/reward_mean': '0.01404'}
{'step': 52000, 'sps': '26.7', 'episodes': 260, 'metric/d_mean': '0.000794', 'metric/d_nonzero': '0.3699', 'phi/constraint': '4.195e-07', 'phi/lambda': '55.51', 'phi/obj': '0.0001407', 'phi/violation_rate': '0.06284', 'sac/actor_loss': '-6.073', 'sac/alpha': '0.003271', 'sac/q_loss': '0.01776', 'sac/reward_mean': '0.01417'}
{'step': 53000, 'sps': '26.7', 'episodes': 265, 'metric/d_mean': '0.0008024', 'metric/d_nonzero': '0.3744', 'phi/constraint': '4.152e-07', 'phi/lambda': '57.25', 'phi/obj': '0.0001477', 'phi/violation_rate': '0.06288', 'sac/actor_loss': '-5.951', 'sac/alpha': '0.003291', 'sac/q_loss': '0.01827', 'sac/reward_mean': '0.01486'}
{'step': 54000, 'sps': '26.7', 'episodes': 270, 'metric/d_mean': '0.0008212', 'metric/d_nonzero': '0.3818', 'phi/constraint': '4.361e-07', 'phi/lambda': '61.11', 'phi/obj': '0.0001586', 'phi/violation_rate': '0.065', 'sac/actor_loss': '-5.858', 'sac/alpha': '0.003263', 'sac/q_loss': '0.01972', 'sac/reward_mean': '0.01595'}
{'step': 55000, 'sps': '26.7', 'episodes': 275, 'metric/d_mean': '0.0008329', 'metric/d_nonzero': '0.3876', 'phi/constraint': '4.615e-07', 'phi/lambda': '62.51', 'phi/obj': '0.0001651', 'phi/violation_rate': '0.0653', 'sac/actor_loss': '-5.757', 'sac/alpha': '0.003262', 'sac/q_loss': '0.01942', 'sac/reward_mean': '0.01661'}
{'step': 56000, 'sps': '26.7', 'episodes': 280, 'metric/d_mean': '0.0008485', 'metric/d_nonzero': '0.3936', 'phi/constraint': '4.631e-07', 'phi/lambda': '65.56', 'phi/obj': '0.000173', 'phi/violation_rate': '0.06373', 'sac/actor_loss': '-5.688', 'sac/alpha': '0.003278', 'sac/q_loss': '0.01939', 'sac/reward_mean': '0.0174'}
{'step': 57000, 'sps': '26.7', 'episodes': 285, 'metric/d_mean': '0.0008607', 'metric/d_nonzero': '0.3973', 'phi/constraint': '4.92e-07', 'phi/lambda': '66.18', 'phi/obj': '0.0001783', 'phi/violation_rate': '0.06273', 'sac/actor_loss': '-5.577', 'sac/alpha': '0.003191', 'sac/q_loss': '0.01955', 'sac/reward_mean': '0.01792'}
{'step': 58000, 'sps': '26.7', 'episodes': 290, 'metric/d_mean': '0.0008671', 'metric/d_nonzero': '0.4', 'phi/constraint': '5.111e-07', 'phi/lambda': '66.03', 'phi/obj': '0.0001772', 'phi/violation_rate': '0.06312', 'sac/actor_loss': '-5.455', 'sac/alpha': '0.003013', 'sac/q_loss': '0.01897', 'sac/reward_mean': '0.01781'}
{'step': 59000, 'sps': '26.7', 'episodes': 295, 'metric/d_mean': '0.0008754', 'metric/d_nonzero': '0.403', 'phi/constraint': '5.187e-07', 'phi/lambda': '65.78', 'phi/obj': '0.0001789', 'phi/violation_rate': '0.06241', 'sac/actor_loss': '-5.332', 'sac/alpha': '0.002842', 'sac/q_loss': '0.01961', 'sac/reward_mean': '0.01798'}
