step,sps,episodes,phi/obj,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
33000,46.7,165,0.9832370989322662,-84.13175520324707,0.004621313883457333,0.44872902795113623,0.984793879032135
34000,46.6,170,0.9828577120304107,-84.91235806274415,0.004810675653629005,0.4565255352240056,0.984370157301426
35000,46.5,175,0.9849580965042114,-85.61774816894531,0.004634770169388503,0.5179908790085465,0.9863524101376534
36000,46.5,180,0.985051330268383,-86.3073345336914,0.004579033027868718,0.48723839420825243,0.9864871771335602
37000,46.5,185,0.9854225854873657,-86.97450733184814,0.004746262015774846,0.5203923447076231,0.9868552040457725
38000,46.4,190,0.9856744312047958,-87.58708278656006,0.005002981134224683,0.4432882554139942,0.9871322284936905
39000,46.4,195,0.9862167797088623,-88.2017911605835,0.0051314766430296,0.460906210873276,0.9875794580578804
40000,46.3,200,0.9860214995741844,-88.76267153167724,0.005241920902393758,0.41751961735077203,0.9875532057881355
41000,46.3,205,0.9853722378611565,-89.30185664367676,0.005259353175293654,0.39645776283554734,0.9868586874604225
42000,46.3,210,0.9847073917388915,-89.82747818756104,0.005349786111619324,0.3618809951413423,0.9862719050049782
43000,46.1,215,0.9844322977662087,-90.30279706573486,0.0056303384499624375,0.31027417053095996,0.9860544702410698
44000,46.1,220,0.9851649411916733,-90.77423599243164,0.005501101474277675,0.2870461807344109,0.9866520122885704
45000,46.1,225,0.9847672801017762,-91.23159679412842,0.005278122281190008,0.2661178948804736,0.9862836971879005
46000,45.9,230,0.9853612627387047,-91.64619919586181,0.0051026060166768725,0.3136453938782215,0.9868849599957467
47000,45.8,235,0.9858740218877793,-92.07779553985596,0.005029937554616481,0.22606038047000765,0.9873652390837669
48000,45.7,240,0.985461627304554,-92.48102478790283,0.005049679481424391,0.18385661130957306,0.9870492798686028
49000,45.6,245,0.9863991321325302,-92.81633077239991,0.004919411355163902,0.21800771141424774,0.9879002094864845
50000,45.5,250,0.9872791751623153,-93.18760200500488,0.004939306063111872,0.219459149742499,0.9886800310015679
51000,45.5,255,0.9862107263803482,-93.56119789123535,0.005031787266023457,0.23429080617055298,0.9877193596959114
52000,45.5,260,0.9850804740190506,-93.89284820556641,0.004725837839301675,0.16895336743071676,0.9865881029963494
53000,45.5,265,0.9847693984508514,-94.18510076141358,0.004709051739424467,0.1617320767175406,0.9863791708946228
54000,45.4,270,0.9863436862826347,-94.4934927597046,0.004614597751293331,0.15178919884376227,0.9878680160045624
55000,45.4,275,0.98656053596735,-94.78316492462159,0.004521208152640611,0.12383799630776048,0.9880821850895881
56000,45.4,280,0.9866873471736908,-95.06306842041016,0.004630037866067142,0.11199136437475682,0.9881643607616425
57000,45.4,285,0.9866454998850822,-95.30969651794433,0.004622181970160454,0.10488020726665855,0.9881900303959846
58000,45.3,290,0.9866093332171441,-95.57811991119385,0.004604127922561019,0.10662052948027849,0.9881982076764106
59000,45.3,295,0.9867022325396537,-95.80604616546631,0.004636325969360769,0.13630658295750617,0.9882477924823762
60000,45.3,300,0.9874859974980355,-96.04579296875,0.004608628420624882,0.09901580931339413,0.9889422144889831
61000,45.2,305,0.987068553686142,-96.30754772949219,0.004671806606929749,0.08953245256375521,0.9885669253468513
62000,45.1,310,0.9862564022541046,-96.46381922912597,0.004589143555611372,0.07891322315856815,0.9878462324738503
63000,45.0,315,0.9868790210485459,-96.60637035369874,0.004363646289333701,0.0815608381209895,0.9884502293467522
