step,sps,episodes,phi/obj,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
23000,32.8,115,-0.0002608046189125162,-79.94637677001953,0.07585368657112121,4.506685861706734,0.7823331241607666
24000,32.6,120,-0.00026568188448436556,-81.88103617095948,0.07756105384230613,5.725738933444023,0.7889311150610447
25000,32.4,125,-0.00028058894956484436,-84.00365514373779,0.07774376668035984,7.337099641919136,0.7717009463310242
26000,32.3,130,-0.00029132174712140113,-85.88962683105468,0.07619405405968428,7.49319522190094,0.7841584788262844
27000,32.1,135,-0.00029765682901779656,-87.17752825164794,0.0787245240882039,7.905675904512405,0.8028941691815853
28000,32.0,140,-0.0002990956826106412,-88.64870243835449,0.08365860648453236,8.289547927975654,0.7977744350135326
29000,31.9,145,-0.00028679579751042186,-90.11730725097657,0.08547822337597609,7.13360952091217,0.792768006876111
30000,31.8,150,-0.00029797360139491503,-91.48302537536621,0.0845499368533492,8.364663557052612,0.7675785220861435
31000,31.7,155,-0.0003006668978923699,-92.44221501159667,0.08401479107141495,8.397433914542198,0.7650684970915318
32000,31.6,160,-0.0003020623948686989,-93.45780647277832,0.0865293967872858,8.919097309231757,0.7792841545939445
33000,31.5,165,-0.00030638697161339224,-94.27396624755859,0.08578261847794055,9.017596438288688,0.7857928526699542
34000,31.4,170,-0.000318506411917042,-95.12277605438233,0.08623519000411034,9.389185103416443,0.7892362019121647
35000,31.3,175,-0.000314509755698964,-96.19151130676269,0.08771256598830222,9.19634935092926,0.7893796257674695
36000,31.2,180,-0.00031892521143890915,-97.13406088256836,0.08637433838099241,9.53485379266739,0.7858941133320332
37000,31.2,185,-0.00033895407310046723,-98.22867279052734,0.08677135317772627,11.181702033162116,0.78600497174263
38000,31.1,190,-0.00032622883447038474,-99.32013655090331,0.08410323355346919,10.621025777935982,0.7922801100760698
39000,31.0,195,-0.0003366757613548543,-99.86914824676514,0.08386658523976803,12.088945652246474,0.767124989554286
40000,31.0,200,-0.0003411182215058943,-100.34838171386718,0.08003804150223733,12.120380954861641,0.7489557519108057
41000,30.9,205,-0.00034785334252228497,-100.31543958282471,0.07956015256047248,13.207102741122245,0.7420431232601404
42000,30.9,210,-0.0003314320152712753,-100.15405318450928,0.08171345408260822,11.106502733707428,0.7491761591807008
43000,30.8,215,-0.00034275043215893674,-100.19361981964111,0.08240027157217264,12.845257982850075,0.7428848808780313
44000,30.8,220,-0.0003274813532043481,-100.35948191070557,0.0790118817910552,10.683616683006287,0.7461715341806412
45000,30.7,225,-0.00033637638468644583,-100.61136891174317,0.07974944221973419,11.343279238581657,0.7510753694027662
46000,30.7,230,-0.0003274687914963579,-100.60259338378906,0.08074702629446984,11.00286358010769,0.7459281122758985
47000,30.7,235,-0.0003316476077598054,-100.78886855316162,0.07838533085584641,11.39622512447834,0.7351525443643332
48000,30.6,240,-0.000324705084625748,-100.67956017303467,0.07793134487420321,11.239103579998016,0.7301435158997774
49000,30.6,245,-0.0003286377413023729,-100.27385971069336,0.0775123733729124,11.35225043272972,0.7128406935781241
50000,30.5,250,-0.00031574165471829474,-99.90609832763671,0.07576644041389227,10.507251922488212,0.704922597721219
51000,30.5,255,-0.00032225193102203775,-99.20866158294677,0.07416121983528137,11.271077361345291,0.6926283886581659
52000,30.5,260,-0.00031804813724011183,-98.69755104827881,0.07147959011048079,11.082141827464104,0.6842505008801818
53000,30.4,265,-0.00031555595867394006,-97.79633316802979,0.0705598890632391,11.129188910365105,0.6855480829328299
54000,30.4,270,-0.0003228677242586855,-96.9963288269043,0.07031720288097859,11.443412799715995,0.6858122157957405
55000,30.4,275,-0.00031901613209629433,-96.35607505035401,0.06868760585784912,11.63719310760498,0.6846515296548605
56000,30.4,280,-0.00031371154726366515,-95.93876496887206,0.0690601141601801,10.922314285755158,0.6839270437210798
57000,30.3,285,-0.0003088702474051388,-95.25660862731934,0.06920854833722115,10.599052080631257,0.6794328696280718
58000,30.3,290,-0.00030223679216578604,-94.87855293273925,0.06892624976485967,10.726064096093177,0.6820588969811797
59000,30.3,295,-0.0003093549395125592,-94.55610112762452,0.07008662076294422,10.769355205774307,0.6700932019203901
60000,30.3,300,-0.00031151358592614996,-94.41547232818604,0.07038729245215654,10.924800488233567,0.6684414972178638
61000,30.2,305,-0.0003099916384671815,-94.42752433776856,0.0716584585532546,10.147964563131332,0.6737347641214728
62000,30.2,310,-0.00030027755837363655,-94.3027532272339,0.07078146697580814,10.287867784142493,0.6644772419035435
